Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2021-03-16,19.0,25.49,15.557,17.099,8340720.6,150912063.8642,415906.0,4128309.3,74655564.0996
2021-03-17,17.099,18.88,14.1,14.607,5653609.5,89073835.2386,309612.0,2635184.4,41608357.9179
2021-03-18,14.613,19.95,14.324,17.045,10014211.5,172933188.2908,586614.0,4728870.9,81793025.7795
2021-03-19,17.047,18.044,15.025,15.218,5494711.4,90003519.5683,303950.0,2396984.5,39364282.7854
2021-03-20,15.236,15.589,14.1,14.4,3365511.7,50485970.0173,164807.0,1444969.9,21709229.8122
2021-03-21,14.407,14.801,13.061,14.08,4339203.3,60068017.9142,230948.0,1988977.8,27564709.5485
2021-03-22,14.098,14.147,12.003,12.069,4480613.2,58753304.6124,195571.0,2006973.1,26339600.6927
2021-03-23,12.07,12.5,11.335,11.622,4268642.0,50595448.8874,165041.0,1997780.9,23696642.8347
2021-03-24,11.622,14.65,11.468,11.901,7259551.5,94724408.5838,319868.0,3369848.5,44031967.5808
2021-03-25,11.9,12.518,10.466,10.925,5556512.8,63277353.3126,220379.0,2568878.4,29299739.4639
2021-03-26,10.916,13.85,10.905,13.428,4948316.4,62437843.8227,209677.0,2355831.3,29744756.1741
2021-03-27,13.439,14.531,12.233,13.45,4756837.9,63348421.3087,187962.0,2173685.2,28970738.4713
2021-03-28,13.459,18.255,13.35,16.684,12339090.2,201633968.256,557496.0,5878345.6,96056517.1936
2021-03-29,16.699,16.9,15.231,15.863,4095715.0,65640467.9726,207350.0,1859773.3,29831403.6789
2021-03-30,15.844,17.339,15.345,16.089,4040390.5,66221038.6399,172424.0,1791100.7,29381490.0245
2021-03-31,16.107,16.645,13.121,14.647,4800155.5,71654027.2638,220536.0,2092497.2,31244110.8587
2021-04-01,14.659,15.4,13.736,14.378,2367103.9,34681414.3921,114466.0,1010048.6,14809650.743
2021-04-02,14.384,15.15,14.1,14.743,1841034.3,26954069.9357,89817.0,800866.7,11729403.0745
2021-04-03,14.743,15.576,13.172,13.512,2687309.8,38701536.1098,136647.0,1154604.7,16643582.3651
2021-04-04,13.512,14.547,13.276,14.36,1164348.8,16497356.8613,66004.0,532327.5,7541591.9042
2021-04-05,14.375,15.25,13.561,14.254,2363505.6,34092442.006,111084.0,1024686.8,14791944.5555
2021-04-06,14.254,15.58,13.708,14.182,2753267.1,40456525.5398,137387.0,1219935.1,17931993.4633
2021-04-07,14.187,14.321,11.58,12.206,3470092.4,44025309.8678,160504.0,1524914.5,19337660.8856
2021-04-08,12.224,13.3,12.12,12.894,2255730.2,28707031.5764,93078.0,997768.1,12701898.176
2021-04-09,12.887,13.403,12.454,12.73,1915322.4,24812890.4454,83764.0,839796.0,10888245.7664
2021-04-10,12.73,13.99,12.109,12.61,2487331.2,32350811.5753,100947.0,1069372.4,13927859.1329
2021-04-11,12.61,12.972,12.182,12.873,1440862.0,18090425.4519,64955.0,660414.8,8299309.3883
2021-04-12,12.888,15.382,12.777,13.899,8531292.3,120072593.1182,351154.0,4098303.3,57777955.2635
2021-04-13,13.904,14.648,12.659,12.752,3582358.8,48012728.1219,170442.0,1583057.7,21232755.7352
2021-04-14,12.759,13.193,11.511,12.253,3717570.5,46182297.6328,178442.0,1557987.5,19366633.5342
2021-04-15,12.253,13.012,12.085,12.551,3527876.7,44459842.9679,144269.0,1552638.2,19585357.6625
2021-04-16,12.559,12.746,11.5,11.92,3717110.0,44890363.4902,169441.0,1579024.2,19087107.2883
2021-04-17,11.921,12.549,11.68,11.832,2939211.1,35650282.7205,137363.0,1236140.1,15004503.2543
2021-04-18,11.838,12.078,5.505,9.789,33686859.6,300859628.2388,904816.0,17308612.2,155421311.2208
2021-04-19,9.789,10.54,8.636,8.675,8327589.8,81338891.2399,222332.0,3868267.1,37827758.2714
2021-04-20,8.678,9.38,7.855,9.232,4250512.7,36822930.8161,169486.0,1995087.3,17287598.9236
2021-04-21,9.227,9.36,8.448,8.56,3145694.4,28067211.0411,125317.0,1441263.5,12873330.4985
2021-04-22,8.561,9.578,7.636,7.853,5138661.2,45181688.9486,184198.0,2370593.0,20855903.7121
2021-04-23,7.852,8.004,5.826,7.554,6148895.3,43311913.1733,201227.0,2885733.7,20355089.3099
2021-04-24,7.551,7.555,6.715,7.285,2847052.3,20289502.3281,92884.0,1367816.6,9759893.1648
2021-04-25,7.285,12.808,7.28,8.185,29926410.8,284882920.8224,1078787.0,14601142.1,139512701.5977
2021-04-26,8.191,9.519,8.006,8.95,8317969.4,74006709.7311,253647.0,3892743.9,34624760.9171
2021-04-27,8.954,11.025,8.632,10.44,11129943.6,110610513.4087,348993.0,5109111.8,50861973.9536
2021-04-28,10.44,13.615,9.212,13.024,16370227.5,184526555.2418,540723.0,7770091.5,87898474.2492
2021-04-29,13.024,16.552,12.852,13.473,37765292.6,546978735.3476,1328047.0,18569774.3,269114508.1455
2021-04-30,13.477,18.587,12.557,17.686,29494653.3,452327314.992,991706.0,14425982.9,221837455.0186
2021-05-01,17.675,19.757,15.821,18.273,32397938.8,570365427.4561,1279581.0,16032266.3,282476977.3055
2021-05-02,18.269,19.25,16.668,17.496,17656752.1,317724630.0664,748310.0,8477477.3,152613044.9857
2021-05-03,17.493,18.513,15.896,16.542,13026146.2,224595245.4971,575664.0,5905240.3,101877439.5111
2021-05-04,16.548,17.225,13.531,13.886,17319591.8,259068402.8753,673429.0,7881495.3,117978028.826
2021-05-05,13.87,15.688,13.632,14.604,10845884.9,159313829.2495,416991.0,4958120.9,72860506.9988
2021-05-06,14.607,16.112,13.6,14.241,12832736.9,189483311.2354,481060.0,5838873.4,86318544.0356
2021-05-07,14.235,14.8,13.0,13.588,7403496.7,104486066.3647,338498.0,3192057.3,45110771.0497
2021-05-08,13.589,15.78,13.42,14.31,11162420.7,163851714.6862,439992.0,5126368.4,75274071.7791
2021-05-09,14.317,14.454,12.984,13.826,6904157.3,95649896.3981,288227.0,3054345.6,42375342.4685
2021-05-10,13.831,15.21,10.055,11.665,11233490.5,146653896.2359,472877.0,4865034.0,63617986.3094
2021-05-11,11.665,13.155,11.215,12.978,7049524.3,85689178.4692,302434.0,3308512.8,40265606.4853
2021-05-12,12.974,14.042,9.642,9.958,8749535.8,106662920.6469,358581.0,3808004.4,46574018.2123
2021-05-13,9.957,11.884,9.089,10.372,8125368.7,86347206.2606,348097.0,3811670.0,40533344.4049
2021-05-14,10.377,11.893,10.225,11.225,5222578.8,57995282.8498,214669.0,2390562.8,26543087.1055
2021-05-15,11.233,11.514,9.881,10.068,4330541.1,46098547.8756,190263.0,1927278.5,20526063.3924
2021-05-16,10.068,11.997,9.99,11.002,6098275.8,66857961.7452,257874.0,2826708.7,30975580.9644
2021-05-17,11.004,13.572,9.5,13.107,21377703.4,262093905.8058,1023247.0,10333637.9,127072922.6731
2021-05-18,13.108,13.78,11.3,11.621,13773136.9,169988070.4968,592249.0,6539649.3,80829404.4188
2021-05-19,11.618,12.058,4.117,6.745,18907303.9,159070080.7594,641226.0,8646613.5,72970737.4685
2021-05-20,6.744,8.304,6.048,7.465,9977362.2,73452052.9447,306663.0,4869027.5,35797382.3246
2021-05-21,7.465,8.052,5.188,6.324,8702881.3,58539835.0614,260056.0,4148612.0,27942896.0837
2021-05-22,6.321,6.47,5.254,6.102,7201381.7,43081708.4822,214280.0,3524376.3,21067193.669
2021-05-23,6.104,6.256,3.735,5.106,12576221.2,60626273.4123,295577.0,6120866.5,29499658.1274
2021-05-24,5.108,6.212,4.908,6.151,10152505.0,56651307.8977,245491.0,4792116.8,26751347.2226
2021-05-25,6.153,7.095,5.289,6.834,10788720.0,65015812.8414,267972.0,5174605.8,31215196.0078
2021-05-26,6.838,7.751,6.498,7.566,10452169.0,75286578.9255,264472.0,4952193.8,35673861.6142
2021-05-27,7.564,8.895,6.704,7.775,13284332.3,104395755.7302,317177.0,6405916.7,50377147.6953
2021-05-28,7.779,8.38,6.319,6.881,11886407.2,85348774.6249,305835.0,5723890.7,41121063.9764
2021-05-29,6.882,7.362,5.539,5.944,8335814.6,53770608.1696,213677.0,3992967.7,25736483.3947
2021-05-30,5.947,7.559,5.513,6.997,12988172.1,89687516.5592,321482.0,6358262.4,43907391.6173
2021-05-31,6.995,7.5,6.473,7.433,10985631.5,77662861.9068,273583.0,5409920.9,38257210.3944
2021-06-01,7.432,7.728,6.64,6.922,8243730.8,58120359.5096,213376.0,3780869.6,26674857.2445
2021-06-02,6.923,7.224,6.6,6.8,6685021.4,46325298.2607,161896.0,2931108.1,20324363.9813
2021-06-03,6.801,7.441,6.7,7.231,7939300.4,56356032.9673,173311.0,3558052.8,25270382.8772
2021-06-04,7.232,7.253,5.876,6.26,9016972.1,57780969.1915,221444.0,4143601.9,26520059.2843
2021-06-05,6.26,6.779,5.697,6.055,9125304.3,57540531.9494,192196.0,4240324.4,26735888.2532
2021-06-06,6.054,6.242,5.925,6.108,4408752.2,26876864.1637,97005.0,2134268.4,13017657.4908
2021-06-07,6.108,6.547,5.353,5.613,7911252.1,48072783.7462,166062.0,3578990.4,21764685.5013
2021-06-08,5.612,5.669,4.835,5.34,7141517.8,38158773.9004,160430.0,3386943.9,18109820.2798
2021-06-09,5.339,5.781,4.947,5.715,6895412.7,37124984.7372,127317.0,3345390.4,18014727.9537
2021-06-10,5.716,5.914,5.271,5.541,5748284.1,32087295.9204,120857.0,2798595.3,15649014.3143
2021-06-11,5.542,6.695,5.304,6.066,18740784.8,115901331.5723,370312.0,9484615.7,58691796.8223
2021-06-12,6.066,6.1,5.111,5.314,12766953.5,69633832.6311,247296.0,6238087.1,34036634.2994
2021-06-13,5.314,6.196,5.16,6.044,9439389.0,52250089.6666,171200.0,4588114.9,25416150.8249
2021-06-14,6.043,6.1,5.58,5.834,8078813.2,47335512.565,151586.0,3772224.4,22124100.0669
2021-06-15,5.835,6.198,5.515,5.639,9883286.6,57304719.0283,168152.0,4465941.2,25892386.4391
2021-06-16,5.642,6.039,5.195,5.294,12772367.8,70733984.3228,212342.0,5913167.8,32765500.7355
2021-06-17,5.295,5.897,5.271,5.672,17779160.1,100618771.1163,281541.0,8743397.5,49502613.2333
2021-06-18,5.672,5.853,5.102,5.259,12687392.3,69233045.6083,233604.0,5945968.8,32458810.4811
2021-06-19,5.257,5.329,4.919,4.968,7323282.9,37949788.7109,133426.0,3391314.4,17592731.1265
2021-06-20,4.968,5.18,4.48,4.986,9912414.8,48176078.2625,160792.0,4591236.5,22325718.6265
2021-06-21,4.988,5.03,3.673,3.748,14387772.5,61250748.1924,230400.0,6931332.2,29471904.5338
2021-06-22,3.745,4.067,3.156,3.586,14957473.4,54609189.8756,220761.0,7440643.8,27172154.8335
2021-06-23,3.588,4.824,3.47,4.739,24746401.2,108349169.2818,328076.0,12538761.4,54919254.8961
