Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2021-12-27,9.606,10.627,9.303,9.365,1483156.6,14922810.8333,114060.0,688927.7,6957447.2594
2021-12-28,9.357,13.85,8.91,12.21,37394112.1,459604324.7898,1539343.0,19445607.0,239369324.4374
2021-12-29,12.21,13.693,10.711,10.851,29766379.1,358054489.5768,1051900.0,15214931.4,183299048.8063
2021-12-30,10.85,12.55,10.67,11.228,12171890.8,143565685.1243,540624.0,6067471.2,71612743.4667
2021-12-31,11.23,14.148,11.21,13.536,15191691.9,195710799.5876,656930.0,7952006.3,102552952.6094
2022-01-01,13.529,14.25,12.68,13.071,12380551.4,164955285.9429,498176.0,6147702.1,81999728.179
2022-01-02,13.072,13.57,12.36,13.054,6937152.9,88997525.6769,312258.0,3457936.1,44387422.52
2022-01-03,13.053,13.9,11.6,11.969,9752481.1,124271238.9374,413050.0,4711640.6,60112712.2961
2022-01-04,11.974,12.474,11.006,11.048,6519645.3,76943099.1815,241866.0,3003631.2,35478666.2529
2022-01-05,11.056,11.738,9.368,10.26,7712519.4,84475875.1351,248247.0,3446296.6,37811459.6187
2022-01-06,10.249,11.779,10.0,10.855,19843145.4,220087163.0008,606369.0,9701433.4,107701220.6221
2022-01-07,10.85,11.041,9.1,9.313,11832741.7,117334657.8934,388095.0,5395454.8,53525608.2179
2022-01-08,9.309,10.149,7.785,8.078,11990084.3,107215214.7524,326059.0,5622673.8,50354721.7837
2022-01-09,8.079,8.439,7.822,8.216,13369385.3,108573843.8439,298901.0,6242040.3,50731616.5609
2022-01-10,8.214,8.216,6.895,7.441,10332315.7,77900411.1723,230432.0,4872544.7,36743030.9614
2022-01-11,7.441,8.41,7.207,8.296,9628353.5,75438659.0124,229815.0,4757575.3,37339576.1972
2022-01-12,8.289,9.692,8.065,9.445,13385469.1,117775694.0794,309028.0,6575698.3,57898897.8397
2022-01-13,9.436,9.526,8.348,8.481,9971978.7,89381726.3439,243845.0,4671713.8,41884482.7606
2022-01-14,8.481,8.881,8.115,8.412,6689182.2,56656762.1198,165847.0,3179028.5,26941411.8314
2022-01-15,8.415,8.665,8.166,8.222,3841218.5,32306913.126,102166.0,1838697.5,15471211.9689
2022-01-16,8.22,8.382,7.833,8.063,5402918.0,43954110.1341,131136.0,2493456.3,20287849.347
2022-01-17,8.06,8.136,7.203,7.446,9222074.6,69091945.6077,205854.0,4267591.3,31973741.868
2022-01-18,7.44,8.058,7.056,7.346,13114437.3,99464364.6719,278201.0,6296920.4,47787196.4875
2022-01-19,7.343,7.507,6.604,6.631,8642346.3,59781026.4603,165982.0,4144644.2,28645637.4487
2022-01-20,6.63,7.477,6.529,6.688,11777983.9,82639784.9066,222868.0,5741784.3,40307108.6701
2022-01-21,6.686,6.739,5.016,5.283,17137921.6,98768006.9707,318544.0,8177179.5,47140363.5433
2022-01-22,5.284,5.369,3.99,4.495,15144018.5,69757108.8796,239754.0,7311687.2,33633579.6465
2022-01-23,4.497,4.832,4.291,4.709,8435636.5,38252649.3507,132037.0,4146091.5,18791844.742
2022-01-24,4.708,5.369,3.948,5.27,35981880.5,172010554.1983,530346.0,18660334.7,89269404.1043
2022-01-25,5.266,5.45,4.865,5.059,23236401.9,119712657.3311,330712.0,11542882.0,59485005.0322
2022-01-26,5.06,5.486,4.769,4.919,13864429.6,70610322.7448,232883.0,6772539.0,34506355.1365
2022-01-27,4.923,5.368,4.535,5.291,11206681.2,55705740.0494,198481.0,5585944.8,27782235.1416
2022-01-28,5.289,5.486,5.036,5.266,12980205.6,68121011.0051,217619.0,6461139.4,33911549.9222
2022-01-29,5.266,6.37,5.25,6.278,23410098.5,138207035.9333,387781.0,11782322.7,69616200.2113
2022-01-30,6.28,7.115,5.931,6.884,32329129.8,212974317.6325,563112.0,16364592.7,107927498.1846
2022-01-31,6.883,7.939,6.208,7.768,33134865.3,232135197.7718,604059.0,16811322.1,118011322.7145
2022-02-01,7.768,8.12,7.283,7.535,24306378.8,186837355.731,550816.0,12329548.8,94804778.2887
2022-02-02,7.527,8.85,7.246,7.756,31747205.5,260000201.0979,709794.0,16140975.1,132226897.1206
2022-02-03,7.756,8.03,7.254,7.736,17492698.7,133522454.5621,441051.0,8772792.3,67011752.8046
2022-02-04,7.737,8.453,7.212,7.848,21633525.9,167711285.3225,448831.0,10206008.1,79199865.5529
2022-02-05,7.851,8.825,7.536,8.734,17995555.5,145170586.6491,437107.0,8499876.7,68625990.6945
2022-02-06,8.734,8.88,7.643,7.987,10514293.6,86538577.7433,267953.0,5022770.2,41375053.0412
2022-02-07,7.987,8.199,7.624,7.722,10303540.1,81507328.1685,257150.0,4649018.2,36793908.9874
2022-02-08,7.724,8.05,7.151,7.553,10045890.8,75723327.6053,254225.0,4747915.9,35794181.0273
2022-02-09,7.555,7.879,7.234,7.863,6074757.5,46082372.529,171329.0,3145441.2,23860763.9519
2022-02-10,7.867,7.872,6.901,6.94,6430293.5,47471137.1039,173040.0,2882958.9,21313935.7714
2022-02-11,6.943,6.986,5.913,6.08,11558681.3,75312506.4692,252449.0,5412388.8,35236542.8716
2022-02-12,6.077,6.472,5.769,6.19,10953390.9,67860519.3579,227306.0,5399005.3,33444400.8483
2022-02-13,6.19,6.363,5.672,5.751,7189314.8,43328817.6077,145507.0,3312017.7,19939905.3355
2022-02-14,5.751,5.988,5.39,5.807,7966955.3,45254218.1497,173574.0,4020973.2,22827141.1753
2022-02-15,5.806,6.408,5.805,6.406,6322906.8,38756556.414,135182.0,3167950.3,19426614.0418
2022-02-16,6.405,6.428,5.846,5.964,6341170.4,38633422.0122,132978.0,2880109.0,17557280.9439
2022-02-17,5.966,6.083,5.186,5.275,7988200.9,44707805.0702,153054.0,3676150.6,20532421.3328
2022-02-18,5.277,5.824,5.236,5.384,10559860.5,58506099.2588,197276.0,5266128.2,29198943.5453
2022-02-19,5.384,5.546,5.143,5.365,5979079.8,31902371.1461,103070.0,2952578.8,15753009.5823
2022-02-20,5.365,5.476,4.754,4.86,6867072.5,34435215.6798,119415.0,3257118.5,16314018.236
2022-02-21,4.862,5.147,4.403,4.438,6293507.8,30494008.6147,124922.0,3024753.9,14673855.568
2022-02-22,4.438,4.9,4.35,4.812,8863756.8,41436973.1459,168476.0,4323148.5,20212542.6625
2022-02-23,4.812,5.177,4.705,4.829,7816876.1,38614158.12,157592.0,3924016.0,19384719.4599
2022-02-24,4.83,4.994,4.085,4.95,12489179.7,56071692.1689,254556.0,6154338.1,27661252.0609
2022-02-25,4.95,5.589,4.884,5.413,12954917.1,66667004.8539,270122.0,6497402.8,33438266.4519
2022-02-26,5.415,5.758,5.337,5.428,9548646.4,53157400.2743,254301.0,4745144.7,26430696.1037
2022-02-27,5.429,5.508,4.77,4.839,9489413.6,49045102.7817,210535.0,4286843.9,22161345.7133
2022-02-28,4.838,5.43,4.702,5.394,9059921.2,45215582.4934,188736.0,4358417.1,21832498.3521
2022-03-01,5.395,5.886,5.258,5.655,7806800.1,43262967.6248,196745.0,3977840.3,22039281.8815
2022-03-02,5.656,5.666,5.191,5.247,5579100.7,30183846.4292,130904.0,2566971.1,13914144.4046
2022-03-03,5.249,5.305,4.83,5.095,6305247.0,31864443.8696,130307.0,2997469.9,15145633.9154
2022-03-04,5.091,5.209,4.638,4.724,6546166.7,32566397.8718,138302.0,3085886.2,15362361.0542
2022-03-05,4.723,4.961,4.572,4.877,4833445.4,23280390.7149,103715.0,2428632.4,11696068.2311
2022-03-06,4.876,4.927,4.554,4.593,4031990.3,19021634.1528,95560.0,1965475.9,9269631.1993
2022-03-07,4.593,4.757,4.233,4.416,5588659.6,25129043.4055,122888.0,2701810.6,12162692.0635
2022-03-08,4.416,4.649,4.284,4.401,5415968.7,24313676.8521,116097.0,2553105.7,11473191.8249
