Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2022-10-19,7.999,8.595,6.564,7.3,347173539.7,2600185719.9464,4953975.0,175776492.8,1316898598.4347
2022-10-20,7.301,7.74,6.9,7.357,147099164.9,1080753926.3998,1862818.0,74203991.6,545521560.4447
2022-10-21,7.357,7.68,6.981,7.49,123913199.5,912514092.5143,1498353.0,62316007.0,459331006.5962
2022-10-22,7.49,9.28,7.333,8.937,229428158.0,1943253755.3419,3110719.0,119183121.0,1009410332.5032
2022-10-23,8.937,10.2,8.851,9.754,388443586.1,3712793791.277,4607235.0,195985602.0,1873904584.8647
2022-10-24,9.754,9.962,9.224,9.52,224086175.3,2147817047.1369,2451760.0,112109579.8,1075221006.5873
2022-10-25,9.52,9.555,8.512,8.775,204121343.8,1859862577.2458,2339269.0,98709277.5,899859475.9232
2022-10-26,8.775,9.28,8.601,9.191,156974817.0,1404344367.175,1882116.0,77809930.8,696394230.4827
2022-10-27,9.191,9.63,8.58,8.698,134977354.5,1241338099.0593,1761913.0,65237821.5,600734407.2837
2022-10-28,8.698,8.826,7.922,8.173,132186233.2,1085612470.2461,1523138.0,63290079.8,519609584.1026
2022-10-29,8.174,8.367,7.586,7.952,97029881.2,782906643.5335,1147259.0,46878459.3,378422049.3407
2022-10-30,7.95,8.384,7.588,7.796,73307527.3,580395562.527,1023457.0,35001489.4,277223187.9006
2022-10-31,7.796,8.219,7.656,7.927,66278031.9,523823160.1279,918971.0,32028989.9,253269004.8412
2022-11-01,7.928,8.318,7.81,8.188,72946418.8,589773843.8494,940337.0,35589919.5,287854344.8423
2022-11-02,8.191,8.206,7.087,7.37,81809434.7,615996592.7439,1175298.0,37138393.1,279450725.8871
2022-11-03,7.37,7.559,7.161,7.227,39734281.4,293050496.6971,558081.0,18770404.9,138485440.5504
2022-11-04,7.227,7.785,7.154,7.65,44140453.6,326963843.0958,604527.0,21187595.7,156997966.481
2022-11-05,7.651,7.999,7.512,7.62,47260279.4,364976334.6435,606422.0,22677025.4,175239264.8668
2022-11-06,7.621,8.228,7.216,7.304,96953189.1,762438469.472,1134208.0,46358468.3,365044041.7709
2022-11-07,7.303,7.459,6.79,6.998,62905652.7,447184135.9231,799455.0,28836877.1,205056811.9215
2022-11-08,6.998,7.02,4.462,5.368,125177189.5,755564108.0617,1651191.0,58587967.9,353123759.1424
2022-11-09,5.368,5.383,3.437,3.9441,123170924.4,532066842.25222,1622726.0,60674079.4,261311002.20631
2022-11-10,3.9448,5.483,3.8359,5.1515,100259381.5,468910722.91538,1356474.0,51029608.6,239062458.04714
2022-11-11,5.151,5.3449,4.463,5.18,59087551.6,292082695.06192,945215.0,29279789.2,144790978.2534
2022-11-12,5.1793,5.1829,4.4254,4.543,32735158.6,153705631.90706,553166.0,15920034.4,74765213.11297
2022-11-13,4.5426,4.615,4.1107,4.2162,36186656.8,156499914.43853,528798.0,17924915.3,77553532.12889
2022-11-14,4.2164,4.5105,3.752,4.1905,48518191.6,199729608.98527,754972.0,23819371.9,98057642.41105
2022-11-15,4.19,4.714,4.1072,4.3344,44740285.3,198080094.70103,694333.0,22135951.7,98085543.44888
2022-11-16,4.3344,4.9666,4.151,4.4966,92938739.1,426670255.90619,1264692.0,47108397.8,216466697.78895
2022-11-17,4.4971,4.85,4.3503,4.6575,90241437.1,416260802.345,1235497.0,44679658.4,206199614.20934
2022-11-18,4.6579,4.9269,4.5114,4.716,53395487.1,252999642.13989,741507.0,26469692.2,125491394.55895
2022-11-19,4.7159,4.7699,4.5,4.6212,24752078.8,114290467.87008,378190.0,12061633.1,55708439.90063
2022-11-20,4.6189,4.634,4.0267,4.0982,27528922.1,119880900.50354,389231.0,12907125.6,56188012.64721
2022-11-21,4.0983,4.1475,3.8557,4.0603,36100488.8,145354900.75878,539945.0,17642140.5,71071595.82524
2022-11-22,4.0612,4.521,3.8509,4.3146,38263673.7,160795320.30793,593937.0,18772080.7,78896582.34558
2022-11-23,4.3149,4.597,4.239,4.438,29788386.8,131360745.07766,513415.0,14611517.8,64439613.62482
2022-11-24,4.438,4.7313,4.2221,4.4358,39926594.0,177644187.93029,623368.0,19517318.0,86821547.68371
2022-11-25,4.4355,4.5525,4.2517,4.4247,27920332.2,122665694.8274,447618.0,13499221.1,59327899.47493
2022-11-26,4.4246,5.037,4.4036,4.7656,68705267.9,330611458.05277,947776.0,35081753.2,168793537.77969
2022-11-27,4.7643,5.0277,4.6041,4.7916,36960327.6,176187307.54992,595173.0,17850893.3,85116211.60962
2022-11-28,4.7906,4.7918,4.2939,4.4746,32149916.1,143771371.17775,518213.0,15541296.4,69501357.34593
2022-11-29,4.4735,4.799,4.4101,4.6698,27265331.6,127152964.20946,443708.0,13335775.3,62196326.20021
2022-11-30,4.6693,4.8798,4.535,4.7675,25020703.6,118401991.07513,408882.0,12280712.2,58137349.24043
2022-12-01,4.7675,4.7883,4.572,4.65,16241139.2,76081431.63959,308295.0,7681554.2,35994932.95519
2022-12-02,4.6512,5.0608,4.5038,4.8975,33701145.6,162165206.28557,531555.0,17155968.6,82593624.40492
2022-12-03,4.8976,5.2413,4.8715,5.1106,92549196.0,471765395.82152,1113214.0,46565460.2,237417277.16006
2022-12-04,5.1109,5.37,5.0505,5.1789,63522210.0,330881710.7761,823284.0,32647870.7,170137686.34183
2022-12-05,5.1789,5.4279,5.0,5.1577,49667507.4,261044890.22473,707607.0,24516728.0,128909779.26945
2022-12-06,5.1577,5.4199,4.8463,5.0422,35919926.6,184503808.69833,541942.0,17723446.1,91087652.08566
2022-12-07,5.0417,5.0523,4.58,4.8146,29158584.3,140519055.5915,445931.0,13862585.4,66810173.84803
2022-12-08,4.8145,4.9402,4.6813,4.9137,24805113.6,119766296.26684,369237.0,12625723.3,60995964.52612
2022-12-09,4.9136,4.9478,4.7264,4.804,15753537.4,76465823.17071,247887.0,7847062.7,38097411.55334
2022-12-10,4.8039,4.838,4.7534,4.7792,8718873.8,41810896.82484,146181.0,4296582.4,20606587.83424
2022-12-11,4.7794,4.9,4.608,4.66,14917400.8,71558366.58767,221484.0,7123946.8,34193591.31101
2022-12-12,4.6599,4.7095,4.3,4.523,20566719.7,92106022.50112,352421.0,9846865.5,44118656.14136
2022-12-13,4.5235,4.6675,4.2711,4.6217,24165463.5,108692062.08012,364034.0,11757063.9,52885014.58208
2022-12-14,4.6207,4.7539,4.4688,4.696,21632914.2,100389801.57514,329818.0,10924396.7,50706464.54849
2022-12-15,4.6963,4.7931,4.502,4.6641,31486869.1,147474747.94275,421721.0,15531029.1,72754246.30995
2022-12-16,4.6634,4.7414,3.9603,4.0409,29279140.8,128441946.78928,443568.0,14067892.0,61764982.17882
2022-12-17,4.0407,4.1466,3.9501,4.0854,20127618.8,81483673.36582,314057.0,10018143.9,40572903.02414
2022-12-18,4.0855,4.1025,3.9676,4.0483,11914321.4,48177814.43449,200544.0,5872034.5,23746328.68233
2022-12-19,4.0482,4.1394,3.6611,3.8027,30354171.4,120504028.49314,435464.0,14959908.2,59426680.39114
2022-12-20,3.8029,3.9292,3.7815,3.8921,22229072.4,86139812.88839,321081.0,10869301.4,42129301.7397
2022-12-21,3.8924,3.9039,3.674,3.7614,20020642.9,75434271.17539,296377.0,9802854.6,36939732.68426
2022-12-22,3.7614,3.7836,3.562,3.7066,21752387.9,80137721.64707,305714.0,10407711.7,38359526.09057
2022-12-23,3.7066,3.8096,3.6869,3.747,17509523.0,65615934.98308,244430.0,8990621.1,33701149.61601
2022-12-24,3.7461,3.7783,3.6615,3.6916,10748170.1,40049531.94634,147979.0,5200741.0,19389248.60455
2022-12-25,3.6923,3.7186,3.5211,3.5756,19413712.4,69965603.15008,227504.0,9102860.9,32820785.50669
2022-12-26,3.5755,3.6495,3.552,3.6439,15890050.2,57183115.7239,193840.0,7755959.4,27917569.59674
2022-12-27,3.6433,3.67,3.5211,3.5953,17460357.6,62815481.2284,198009.0,8329565.4,29973123.2419
2022-12-28,3.5952,3.6095,3.13,3.2296,44225911.1,146431596.36158,446310.0,20372846.3,67402613.4763
2022-12-29,3.2296,3.2545,3.06,3.2054,33310509.4,106046811.4447,311739.0,16209147.3,51619755.05731
2022-12-30,3.2057,3.5,3.1113,3.4143,50880940.8,166632624.31343,406168.0,26709001.6,87539689.1812
2022-12-31,3.4135,3.538,3.3205,3.4466,58357511.2,198851018.35425,424639.0,29399337.9,100219540.5286
2023-01-01,3.4471,3.5497,3.4051,3.5185,34086670.5,118217627.66032,264026.0,17810949.3,61793987.07413
2023-01-02,3.5185,3.9,3.44,3.7563,52706346.6,194934789.2085,460350.0,27199952.6,100587583.36125
2023-01-03,3.7557,3.922,3.65,3.8178,50074074.6,188888818.07633,419121.0,24840239.6,93774372.86948
2023-01-04,3.8177,4.0284,3.6991,3.8093,47575968.5,185221261.16759,436730.0,22988125.9,89554353.28235
2023-01-05,3.8092,3.8497,3.6423,3.7079,29334513.9,109503920.6329,282010.0,14285501.9,53347877.9981
2023-01-06,3.7075,3.91,3.584,3.8574,35085138.6,131251083.60957,342025.0,17462097.8,65356083.5596
2023-01-07,3.8575,3.8993,3.781,3.8327,14371184.4,55041167.45904,151986.0,6995119.6,26794091.01094
2023-01-08,3.834,3.9677,3.7312,3.9317,23698276.1,90114821.0743,222138.0,11646426.2,44339914.88206
