Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2021-08-19,3.192,3.6954,3.0369,3.2973,16329761.0,55344343.1487,193698.0,7368110.0,24984770.5756
2021-08-20,3.3005,3.4492,3.1282,3.1616,12901592.0,41777095.2008,136156.0,5383319.0,17450007.1431
2021-08-21,3.1621,3.1693,2.8557,2.8701,24459139.0,73361037.2197,208714.0,10216246.0,30667724.7453
2021-08-22,2.87,2.9988,2.7012,2.8284,12270302.0,34875791.1588,107176.0,5022841.0,14295766.0365
2021-08-23,2.8288,3.25,2.8146,3.0888,40680541.0,124595001.5084,309686.0,18612505.0,57062384.4972
2021-08-24,3.0924,3.096,2.63,2.7185,24477452.0,70278893.7237,180142.0,10523921.0,30189686.7618
2021-08-25,2.7193,2.8729,2.5515,2.7502,16977466.0,46167729.7663,120083.0,7741238.0,21066816.8341
2021-08-26,2.7504,2.8236,2.35,2.429,19684820.0,49482766.0155,146501.0,8825995.0,22193356.8618
2021-08-27,2.4282,2.6365,2.24,2.5499,20601321.0,50475155.0785,146732.0,9550145.0,23418929.8817
2021-08-28,2.5483,3.1453,2.4576,2.9353,57454838.0,163509524.1717,446692.0,26519503.0,75485786.6578
2021-08-29,2.9373,3.1064,2.6879,2.8315,51434222.0,147851639.2014,413019.0,23167545.0,66651334.5784
2021-08-30,2.8319,2.8333,2.48,2.5135,28357702.0,75071457.6636,226615.0,12198552.0,32333623.1644
2021-08-31,2.5135,2.747,2.3823,2.4631,23178123.0,60021112.0224,190799.0,10270491.0,26627260.3205
2021-09-01,2.4618,2.5807,2.3533,2.5468,23388295.0,58234957.8111,165641.0,10312404.0,25675696.4952
2021-09-02,2.5471,2.764,2.4721,2.6337,33126802.0,87827258.6813,233608.0,14708704.0,39029582.7079
2021-09-03,2.6361,3.084,2.5566,2.8508,66593551.0,192312156.9125,469365.0,30444504.0,88032474.1402
2021-09-04,2.8497,2.9441,2.72,2.7829,29345583.0,82955055.1748,216119.0,12984154.0,36733904.6646
2021-09-05,2.7828,2.9316,2.7393,2.872,25391221.0,72282933.7071,196480.0,11182308.0,31841970.5459
2021-09-06,2.8703,3.022,2.4544,2.6862,40927394.0,115313739.9341,284121.0,16961462.0,47788304.7083
2021-09-07,2.687,2.8282,1.7133,2.0888,53796562.0,127357394.4544,396313.0,23321800.0,55065918.2973
2021-09-08,2.0887,2.2539,1.8563,2.1426,23015883.0,47879029.1275,187516.0,10640733.0,22148276.391
2021-09-09,2.143,2.5434,2.1077,2.4503,27882963.0,64765943.6567,235832.0,13074331.0,30423642.8747
2021-09-10,2.4481,2.5207,2.1336,2.2027,21061673.0,49524024.0189,188244.0,9824887.0,23111537.0252
2021-09-11,2.2028,2.3454,2.1769,2.287,11158972.0,25346907.2166,116176.0,5212461.0,11841677.2237
2021-09-12,2.2871,2.4287,2.219,2.2957,12496344.0,29100338.3928,109802.0,5895044.0,13739892.4303
2021-09-13,2.2945,2.3206,2.0039,2.1406,13857588.0,29540665.3456,97550.0,6321283.0,13480019.1906
2021-09-14,2.1407,2.2571,2.1255,2.1991,10939229.0,24042249.5724,85815.0,5052853.0,11106660.503
2021-09-15,2.1984,2.2702,2.1045,2.2587,17029616.0,37143556.4341,118683.0,7597831.0,16580144.5498
2021-09-16,2.259,3.027,2.235,2.9604,92755464.0,250051744.7263,632704.0,47390066.0,128294643.5859
2021-09-17,2.9601,3.2,2.6343,2.699,110745753.0,326421838.1604,803537.0,55504530.0,163892899.0417
2021-09-18,2.6985,2.8999,2.6362,2.7294,21890835.0,60914787.3121,190007.0,10356345.0,28812424.2583
2021-09-19,2.7293,3.1367,2.632,3.0577,42150463.0,122741919.2818,368770.0,20703552.0,60337509.5552
2021-09-20,3.0581,3.1424,2.2184,2.3093,77053157.0,203504002.9896,554625.0,37463238.0,99012207.5173
2021-09-21,2.3098,2.5465,1.9327,1.9906,44767368.0,100836759.7084,334054.0,21195117.0,47699037.7491
2021-09-22,1.9903,2.375,1.9533,2.2951,41702954.0,91140894.4187,320643.0,19764121.0,43213026.4599
2021-09-23,2.2951,2.3418,2.1733,2.2965,21514028.0,48885113.9822,180618.0,9994836.0,22714731.8296
2021-09-24,2.2964,2.304,1.9274,2.1209,22082758.0,46633526.4148,211341.0,10290167.0,21730590.583
2021-09-25,2.1218,2.1774,2.0106,2.0791,15362102.0,32491014.5264,169494.0,7456459.0,15776160.56
2021-09-26,2.0801,2.1632,1.9151,2.0611,14733087.0,30216271.6745,147309.0,6944694.0,14256381.3982
2021-09-27,2.0611,2.1946,2.0005,2.0078,14405980.0,30448267.9928,136349.0,6750558.0,14278281.4589
2021-09-28,2.0086,2.1085,1.91,1.922,11954343.0,23987071.7259,116554.0,5858834.0,11766355.6559
2021-09-29,1.9218,2.0649,1.9043,1.9624,10167192.0,20231418.3779,96501.0,4753344.0,9457968.0663
2021-09-30,1.9631,2.1588,1.948,2.0981,16185222.0,33645334.627,126195.0,7870680.0,16368196.0894
2021-10-01,2.098,2.372,2.0919,2.3531,19247702.0,43359438.4173,164607.0,9243787.0,20828315.4375
2021-10-02,2.3535,2.4616,2.257,2.3064,13962751.0,32814702.8511,133013.0,6478862.0,15232121.9105
2021-10-03,2.3066,2.5699,2.24,2.379,24091626.0,58294870.3609,199280.0,11206727.0,27129376.1294
2021-10-04,2.3776,2.3828,2.2122,2.2454,18350824.0,42142584.4384,166453.0,8492045.0,19512387.6408
2021-10-05,2.2456,2.3264,2.155,2.213,15362849.0,34446281.6415,139482.0,6933003.0,15552439.782
2021-10-06,2.2132,2.2841,2.0156,2.154,27830871.0,60035381.1103,227288.0,12632769.0,27265142.3376
2021-10-07,2.1546,2.2298,2.0752,2.1123,17782004.0,38237526.2719,152734.0,8080351.0,17388163.9959
2021-10-08,2.1124,2.1769,2.0722,2.1073,15403792.0,32684475.0634,124909.0,6956275.0,14767441.0932
2021-10-09,2.1082,2.174,2.0761,2.1265,13299302.0,28296677.6466,97756.0,6040135.0,12853629.8282
2021-10-10,2.1266,2.1271,1.9626,1.9739,15550032.0,31908184.3459,125982.0,6765806.0,13896219.0388
2021-10-11,1.9729,2.0851,1.9306,2.0182,17400471.0,35085633.121,125531.0,8080577.0,16302360.0495
2021-10-12,2.0171,2.0179,1.83,1.9623,19686886.0,37759558.1578,144001.0,9080930.0,17419046.6478
2021-10-13,1.963,2.045,1.89,2.007,23418053.0,46452134.9563,183374.0,10782085.0,21396166.7705
2021-10-14,2.007,2.1007,1.9974,2.0376,19312172.0,39627796.712,142718.0,8456768.0,17357913.8073
2021-10-15,2.0385,2.1319,1.9511,2.0507,24431743.0,50155930.2365,181548.0,10875696.0,22326317.7406
2021-10-16,2.0508,2.1757,2.0228,2.0413,27444176.0,57788055.2543,176573.0,12746909.0,26846260.4451
2021-10-17,2.0414,2.0871,1.9064,1.9717,20198113.0,40754891.5256,137748.0,8928686.0,18030764.751
2021-10-18,1.972,2.0932,1.9351,1.9487,17909051.0,35627066.1069,132765.0,8410142.0,16744867.3814
2021-10-19,1.9485,1.9922,1.9132,1.9555,10905541.0,21310262.5715,117601.0,4912576.0,9605079.2924
2021-10-20,1.9548,2.0544,1.9161,2.0379,16189574.0,32277056.8574,155896.0,6954564.0,13875919.7415
2021-10-21,2.0376,2.1251,1.9465,1.9724,21413151.0,43632508.0937,192611.0,9359131.0,19072031.2126
2021-10-22,1.9725,2.12,1.9685,2.0525,20192049.0,41493617.6506,206079.0,8861782.0,18211923.2678
2021-10-23,2.0525,2.2373,2.0351,2.1381,37697292.0,81140012.0935,277200.0,17671289.0,38047585.5943
2021-10-24,2.1383,2.379,2.1226,2.2151,54015621.0,121485711.4534,403789.0,24996092.0,56231558.7675
2021-10-25,2.2145,2.4098,2.1998,2.3929,32509727.0,75744565.3565,291443.0,15413479.0,35934122.6725
2021-10-26,2.3931,2.4212,2.1814,2.2246,19816451.0,45690718.5915,186752.0,8544051.0,19729676.9386
2021-10-27,2.2259,2.2807,1.765,1.9283,28891843.0,58528601.3651,251899.0,12468705.0,25252575.5644
2021-10-28,1.9296,2.0334,1.9026,1.9771,16758594.0,33086550.7465,184107.0,7605757.0,15012938.359
2021-10-29,1.9775,2.1208,1.96,2.0567,19529194.0,40339685.1602,201950.0,9119148.0,18837212.96
2021-10-30,2.0569,2.3903,1.9706,2.3183,34090888.0,72256067.7442,337753.0,15464145.0,32818304.703
2021-10-31,2.3181,2.6985,2.1546,2.2264,64263620.0,155394957.2869,579586.0,29788700.0,72038033.3529
2021-11-01,2.2271,2.5198,2.1207,2.2984,43621184.0,100442795.2144,383318.0,20892046.0,48141662.4827
2021-11-02,2.298,2.92,2.2576,2.5743,84070098.0,226102346.5432,816228.0,40638997.0,109405944.9718
2021-11-03,2.5735,2.7642,2.4624,2.6408,39457149.0,101865301.653,409111.0,18689306.0,48273299.5111
2021-11-04,2.6405,2.7677,2.484,2.621,25780614.0,67335398.9794,310876.0,12043415.0,31459393.2235
2021-11-05,2.6211,2.9365,2.546,2.5893,37213264.0,102103858.6849,387232.0,17532042.0,48168564.9762
2021-11-06,2.5876,2.7069,2.4455,2.5431,14759232.0,38122050.3785,202508.0,6773975.0,17513387.7234
2021-11-07,2.5429,2.6637,2.5261,2.5907,11123385.0,28841441.605,161333.0,5313370.0,13776778.1474
2021-11-08,2.5907,2.6984,2.5014,2.6818,20469309.0,53480409.3264,223688.0,9684660.0,25305675.2018
2021-11-09,2.681,2.83,2.5646,2.6243,25692108.0,69209451.8437,302666.0,11815000.0,31846731.2313
2021-11-10,2.6247,2.6459,2.1328,2.3402,34782698.0,85148752.6043,332918.0,15208113.0,37272290.2134
2021-11-11,2.3408,2.4251,2.2726,2.3483,15017160.0,35396327.8658,163107.0,6882091.0,16222875.0872
2021-11-12,2.3482,2.3799,2.1842,2.2683,16760625.0,38242401.3634,179530.0,7782899.0,17769164.6848
2021-11-13,2.2676,2.4849,2.2666,2.3868,18919894.0,45192372.6067,218784.0,8943860.0,21359497.9911
2021-11-14,2.3872,2.6248,2.3805,2.5352,23506583.0,59028710.2866,275493.0,11260592.0,28274339.0078
2021-11-15,2.536,2.5542,2.3638,2.3894,12012537.0,29687259.8331,154959.0,5424484.0,13417334.0054
2021-11-16,2.3894,2.3895,1.9743,2.1583,23922182.0,52320167.9732,240181.0,11244428.0,24586659.826
2021-11-17,2.1583,2.289,2.0345,2.2823,18886340.0,41202481.3712,221631.0,8969592.0,19563160.3233
2021-11-18,2.282,3.9667,2.101,2.1427,231161362.0,653574897.2871,1832011.0,112043751.0,318102337.0071
2021-11-19,2.1456,2.3019,2.0745,2.1731,50538724.0,111269743.7917,412034.0,24060882.0,52950405.3931
2021-11-20,2.1731,2.3023,2.1303,2.2507,30487838.0,67739382.4401,261515.0,14302089.0,31797760.4947
2021-11-21,2.2513,2.3767,2.1663,2.2323,37302239.0,84551787.1277,307287.0,17618017.0,39962164.6472
2021-11-22,2.2323,2.2612,2.0311,2.0809,32636371.0,68624926.2811,286662.0,15005379.0,31556404.877
2021-11-23,2.08,3.048,2.0451,2.7938,153603057.0,399850702.3978,1169304.0,75546985.0,197184425.2161
2021-11-24,2.7929,3.0407,2.4501,2.6217,89787763.0,239121487.6589,702136.0,43710040.0,116461432.0917
2021-11-25,2.6218,2.7605,2.43,2.4459,31847161.0,81780300.476,313121.0,15243912.0,39151578.6869
2021-11-26,2.4459,2.5065,2.11,2.201,36301197.0,83215526.6514,310773.0,16629942.0,38160079.3208
2021-11-27,2.2,2.6386,2.1823,2.4452,53915621.0,133778132.5935,473913.0,24889531.0,61730488.9736
2021-11-28,2.4456,2.4499,2.2153,2.4228,30235914.0,70455469.3911,282612.0,14117763.0,32917839.2953
2021-11-29,2.4232,2.5821,2.3705,2.4063,25453253.0,62486942.2511,240388.0,12005530.0,29483313.0339
2021-11-30,2.4062,2.4868,2.2898,2.3009,23921757.0,57192234.4687,217890.0,11068122.0,26496062.7495
2021-12-01,2.3013,2.5748,2.2861,2.3644,47089990.0,115616915.4713,370021.0,21885826.0,53701682.5704
2021-12-02,2.3648,2.376,2.2016,2.2481,22017951.0,50220217.4076,191361.0,9862786.0,22520186.7015
2021-12-03,2.2481,2.3399,2.0414,2.1754,19807748.0,44172535.5516,191565.0,9098753.0,20313033.0011
2021-12-04,2.1747,2.1831,1.3895,1.8972,43068526.0,77945459.0996,337927.0,19657419.0,35510296.7482
2021-12-05,1.8963,1.9286,1.6772,1.7304,24055592.0,42996064.5107,189131.0,11602089.0,20739214.6742
