Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2023-02-22,1.411,1.663,1.4,1.585,36745914.1,57745760.7777,297436.0,17335362.6,27285912.6504
2023-02-23,1.585,1.648,1.224,1.355,64014099.9,89983385.489,580340.0,29029208.0,40849267.0516
2023-02-24,1.355,1.84,1.258,1.545,398748214.3,637273811.4589,2000987.0,198260415.1,317771127.002
2023-02-25,1.545,1.755,1.267,1.342,339093267.7,525480776.5034,1772665.0,165588695.1,257498182.6539
2023-02-26,1.342,1.4,1.29,1.323,139778830.0,186725015.4913,619733.0,64915460.7,86812182.9635
2023-02-27,1.323,1.352,1.04,1.106,196861932.0,230767803.5503,835580.0,90514490.9,106129497.8717
2023-02-28,1.107,1.168,0.969,1.001,318255720.3,335844169.3023,1169382.0,149231754.7,157738720.5305
2023-03-01,1.001,1.057,0.971,1.027,128730634.3,130628293.0378,405944.0,61362847.4,62310671.1966
2023-03-02,1.027,1.094,0.988,1.021,146145620.7,150172211.8226,390820.0,69848818.1,71862369.1243
2023-03-03,1.022,1.023,0.83,0.877,130131091.2,116139971.7801,496653.0,58765072.4,52400912.3122
2023-03-04,0.877,0.889,0.702,0.724,184745000.9,144589325.1743,529627.0,84756225.0,66351479.859
2023-03-05,0.723,0.804,0.715,0.741,184515691.4,138268581.1507,450154.0,89520480.9,67129045.3797
2023-03-06,0.742,0.77,0.664,0.745,207461124.5,150391285.562,364744.0,101406099.1,73601588.2726
2023-03-07,0.745,0.766,0.688,0.722,149931753.7,108871203.1331,271368.0,73340800.3,53311699.969
2023-03-08,0.722,0.735,0.65,0.675,115847055.4,80762121.0508,241438.0,54950228.7,38344051.5379
2023-03-09,0.676,0.73,0.613,0.641,164051568.4,111621546.584,343764.0,80133362.2,54602904.2598
2023-03-10,0.64,0.65,0.538,0.583,239466133.4,138426407.8958,381260.0,115555117.2,66797696.6335
2023-03-11,0.582,0.626,0.54,0.588,207352831.2,122047388.6273,337735.0,102063437.2,60110052.5641
2023-03-12,0.587,0.645,0.545,0.625,166206977.6,97340057.3938,289177.0,81849995.6,47989133.6725
2023-03-13,0.625,0.694,0.606,0.673,215187059.6,139834966.553,377842.0,105308173.3,68467754.5096
2023-03-14,0.674,0.743,0.651,0.681,167103022.2,114928939.8974,328004.0,81081091.4,55819139.6558
2023-03-15,0.68,0.71,0.57,0.585,194231587.5,122607714.7182,373742.0,94625355.8,59769824.1151
2023-03-16,0.585,0.6,0.565,0.594,124193722.5,72854825.5625,215890.0,61241688.8,35939756.6363
2023-03-17,0.595,0.685,0.584,0.662,193162414.3,123399285.1223,324838.0,95415332.0,60969400.2266
2023-03-18,0.662,0.695,0.6,0.617,153528830.0,100477751.6643,285294.0,73784782.9,48330590.038
