Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2021-09-27,6.798,6.863,6.082,6.142,2931874.9,18835045.2037,86521.0,1282502.8,8261376.7229
2021-09-28,6.139,6.272,5.794,5.819,2158778.8,12957375.1877,49218.0,953866.7,5731495.0691
2021-09-29,5.819,6.175,5.507,5.7,3021144.6,17643903.638,52392.0,1248588.1,7295335.4359
2021-09-30,5.698,5.878,5.55,5.646,3194712.1,18316606.4388,51320.0,1370051.5,7864917.1365
2021-10-01,5.653,6.327,5.612,6.164,4502184.3,27077085.1387,76200.0,1892559.1,11398351.3861
2021-10-02,6.164,6.64,6.02,6.292,4080925.7,25880669.0672,70851.0,1699880.7,10795666.4263
2021-10-03,6.29,6.665,6.06,6.309,3911089.5,24856828.908,67043.0,1607766.6,10241254.6515
2021-10-04,6.311,6.35,5.923,6.022,4465060.5,27263610.4128,73959.0,1827078.1,11166501.5322
2021-10-05,6.019,6.192,5.726,5.934,4198380.5,25087250.6631,69444.0,1643292.6,9828651.0561
2021-10-06,5.933,5.993,5.456,5.75,4401911.3,25483425.1781,71248.0,1778068.3,10311832.4598
2021-10-07,5.749,6.04,5.603,5.907,3778487.0,22070969.0183,63028.0,1587146.3,9275537.8521
2021-10-08,5.907,6.069,5.779,5.885,3573058.6,21099793.2063,57941.0,1498443.5,8850891.2972
2021-10-09,5.887,6.333,5.815,5.947,6303134.2,38244929.3846,91430.0,2679316.2,16275241.5076
2021-10-10,5.951,6.002,5.6,5.653,3382142.7,19759459.9782,46928.0,1396454.3,8165775.7462
2021-10-11,5.65,5.863,5.4,5.579,3396004.5,19226844.9805,49357.0,1487689.5,8425104.8197
2021-10-12,5.575,5.715,5.088,5.577,5761448.7,31067867.5721,72954.0,2533288.5,13685971.0238
2021-10-13,5.58,5.85,5.297,5.676,5117012.3,28707384.9747,67480.0,2190395.4,12295140.7419
2021-10-14,5.68,6.264,5.622,5.915,7787186.5,46410941.2098,96831.0,3601108.7,21457330.8932
2021-10-15,5.913,5.981,5.589,5.885,4355329.5,25348496.6465,59375.0,1981095.4,11542514.9989
2021-10-16,5.88,6.117,5.786,5.881,2857743.9,16912912.9166,40550.0,1249399.7,7397771.172
2021-10-17,5.887,6.6,5.826,6.151,10023242.0,62551890.2686,149065.0,4698570.4,29342298.7604
2021-10-18,6.151,6.51,5.906,6.147,6730937.4,41655597.5311,100972.0,3057110.3,18941117.7408
2021-10-19,6.147,6.273,6.02,6.099,2178678.1,13355298.4916,35052.0,958442.6,5877411.4833
2021-10-20,6.099,6.841,6.034,6.559,5713816.4,36749210.7323,86982.0,2658707.4,17143997.2785
2021-10-21,6.56,7.063,6.429,6.987,9425925.1,63578262.7501,141075.0,4465280.2,30160950.7057
2021-10-22,6.987,6.998,6.41,6.644,4268946.6,28554121.8287,65601.0,1877613.6,12566057.525
2021-10-23,6.645,6.764,6.389,6.525,2473629.8,16256184.6158,38455.0,1049391.2,6900750.6594
2021-10-24,6.522,6.883,6.468,6.708,4071208.7,27147865.8789,64978.0,1806788.9,12053499.1067
2021-10-25,6.712,7.434,6.677,7.244,9554161.4,68206624.0787,158772.0,4547169.3,32488419.6944
2021-10-26,7.245,7.88,7.067,7.26,12706809.4,94183424.9651,219921.0,5571642.6,41322367.3771
2021-10-27,7.261,7.357,5.74,6.22,10970391.6,72700129.9451,162821.0,4539065.5,30052742.5326
2021-10-28,6.217,6.697,6.153,6.448,5711804.4,36813833.7178,85929.0,2525792.3,16287903.2079
2021-10-29,6.447,6.849,6.4,6.784,4488118.7,29986997.333,68622.0,1984587.0,13265896.5353
2021-10-30,6.784,6.846,6.2,6.299,4204425.0,27035275.867,65031.0,1836490.6,11815622.4555
2021-10-31,6.298,6.409,6.015,6.244,3737569.1,23226708.0882,62434.0,1626372.3,10115497.3625
2021-11-01,6.245,6.556,6.165,6.297,4778713.8,30340994.4223,85957.0,2080167.2,13213263.1299
2021-11-02,6.298,6.463,6.204,6.3,3250558.2,20603583.1872,60116.0,1393467.8,8837101.3892
2021-11-03,6.303,6.638,6.226,6.471,7263209.1,46900055.4359,126057.0,3231864.6,20883396.7147
2021-11-04,6.47,6.754,6.243,6.353,5986380.9,38909932.1807,98379.0,2515683.5,16360376.2895
2021-11-05,6.355,6.458,6.258,6.294,3197116.9,20314499.8598,58471.0,1383139.9,8789912.7211
2021-11-06,6.294,6.557,6.05,6.34,3909824.3,24611369.1264,68675.0,1695090.3,10689263.6389
2021-11-07,6.335,6.459,6.205,6.343,2740832.0,17295755.7193,48426.0,1135007.2,7164710.9721
2021-11-08,6.346,6.497,6.214,6.44,3865522.5,24529889.0443,63663.0,1601416.2,10171214.593
2021-11-09,6.442,6.79,6.375,6.635,6445601.3,42525491.859,107468.0,2856943.7,18867333.7075
2021-11-10,6.634,6.744,5.3,6.111,8782829.6,55051920.1241,142204.0,3740228.2,23487998.6775
2021-11-11,6.11,6.238,5.992,6.083,3442254.3,21061697.9177,53145.0,1432831.0,8768420.8868
2021-11-12,6.079,6.15,5.713,5.884,3768303.3,22301237.6817,60915.0,1640997.1,9708508.9327
2021-11-13,5.885,5.924,5.745,5.849,2924181.6,17079315.8109,48938.0,1339921.2,7828123.4304
2021-11-14,5.848,5.946,5.715,5.832,2960763.8,17245535.7979,53403.0,1292361.9,7531136.1522
2021-11-15,5.835,5.887,5.545,5.635,4063386.5,23376843.9001,64422.0,1766653.1,10168005.712
2021-11-16,5.635,5.638,4.799,5.165,8147436.7,42848139.2542,119050.0,3632434.2,19109000.2477
2021-11-17,5.167,5.249,4.971,5.148,3896078.6,19980429.2559,61508.0,1877706.5,9633051.7145
2021-11-18,5.148,5.474,4.802,5.003,7738540.2,40161131.8235,116309.0,3619837.6,18805496.5526
2021-11-19,5.003,5.464,4.971,5.287,3332567.6,17353474.5214,56515.0,1599600.6,8332425.5665
2021-11-20,5.284,5.491,5.185,5.407,2750432.0,14749848.2419,44963.0,1268103.4,6803011.4567
2021-11-21,5.408,6.222,5.373,5.8,8743573.7,51289423.7415,152080.0,4159887.9,24400373.7088
2021-11-22,5.802,6.228,5.455,5.455,8921147.4,51659799.2727,155178.0,4141831.4,24011006.2183
2021-11-23,5.456,5.567,5.224,5.413,6677544.2,35919791.8223,101663.0,3107169.0,16725795.7614
2021-11-24,5.414,5.461,5.046,5.242,4365395.9,22905623.4786,71266.0,1901307.6,9974049.4057
2021-11-25,5.241,5.476,5.202,5.284,3258616.5,17326679.6698,58416.0,1529176.6,8133323.2622
2021-11-26,5.283,5.699,4.655,4.719,9006256.2,46244144.2938,164552.0,3869808.7,19888845.0689
2021-11-27,4.716,5.049,4.697,4.844,3419898.6,16653975.0387,84757.0,1492270.8,7268180.7898
2021-11-28,4.844,4.892,4.493,4.886,4342793.6,20425875.0238,107960.0,1843508.7,8682671.8337
2021-11-29,4.885,5.11,4.838,5.033,4518695.8,22535714.7741,106567.0,1973770.2,9847007.9632
2021-11-30,5.033,5.272,4.872,5.157,6350867.9,32579033.4834,146706.0,2856430.9,14661679.646
2021-12-01,5.158,5.268,4.865,4.918,3303444.9,16756259.2351,91370.0,1387242.6,7036154.0161
2021-12-02,4.917,5.116,4.741,4.923,4445660.3,21782844.8669,105900.0,2082538.8,10209331.9424
2021-12-03,4.923,5.125,4.552,4.728,6685742.2,32851797.2077,132476.0,3036215.8,14925780.7721
2021-12-04,4.726,4.748,3.0,4.053,12477589.7,47990395.601,200365.0,5480805.5,21086775.2334
2021-12-05,4.052,4.214,3.602,3.738,7454897.1,29089288.8123,130128.0,3436444.9,13427748.2292
2021-12-06,3.739,3.786,3.382,3.736,8017442.6,28621266.3832,133201.0,3872150.7,13820314.5426
2021-12-07,3.736,3.871,3.589,3.645,4901168.4,18371774.7581,98479.0,2254617.0,8454879.2078
