Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2023-02-20,0.3213,0.3338,0.2579,0.3263,495219547.0,145382852.3913,592227.0,248770902.0,73088805.1213
2023-02-21,0.3263,0.37,0.2909,0.3293,1256382600.0,407735125.5881,1366878.0,634509160.0,206185004.1332
2023-02-22,0.3294,0.33,0.2661,0.2829,850946306.0,246216477.0407,719660.0,418505045.0,121296918.5054
2023-02-23,0.2829,0.321,0.2746,0.3034,965234361.0,286408652.8264,764542.0,467371807.0,138770350.6729
2023-02-24,0.3033,0.316,0.2225,0.2401,1347342427.0,356639539.5595,861099.0,636316563.0,168290438.4643
2023-02-25,0.2402,0.2486,0.206,0.2314,1450693925.0,334678798.3185,828801.0,699989847.0,161636381.6243
2023-02-26,0.2314,0.2485,0.212,0.236,1080845457.0,248621146.8171,628008.0,527120959.0,121376166.6773
2023-02-27,0.2361,0.245,0.2153,0.2255,961322320.0,223600082.0656,586298.0,463082444.0,107843061.9361
2023-02-28,0.2254,0.2264,0.1869,0.1954,1121086749.0,234705067.3667,525766.0,516323152.0,108267138.4769
2023-03-01,0.1954,0.2567,0.1925,0.2393,2755218891.0,642379282.9509,1119010.0,1367510294.0,318858314.82
2023-03-02,0.2393,0.2396,0.2122,0.2271,1752546849.0,393584113.3531,739975.0,849992553.0,190960894.9969
2023-03-03,0.2272,0.2272,0.185,0.1949,1528998577.0,303242855.2453,686400.0,720657661.0,142845845.4601
2023-03-04,0.195,0.1985,0.1712,0.1803,1296454547.0,240746689.5061,427191.0,615152507.0,114342050.9123
2023-03-05,0.1803,0.2141,0.1776,0.1993,2827753703.0,569082892.2718,840850.0,1433226537.0,288539376.7894
2023-03-06,0.1993,0.2082,0.1952,0.1992,2304486801.0,466162079.6731,672530.0,1133903114.0,229443836.1339
2023-03-07,0.1992,0.225,0.1904,0.2196,2353511581.0,476998851.1271,725865.0,1177359732.0,239042529.855
2023-03-08,0.2196,0.2235,0.1832,0.1886,2842719741.0,582835222.7828,885843.0,1387213409.0,284860241.9459
2023-03-09,0.1886,0.1996,0.155,0.167,2918508791.0,530761052.6258,870037.0,1429520975.0,260234104.0993
2023-03-10,0.167,0.1714,0.147,0.1599,3284703418.0,518933594.4469,807946.0,1623837311.0,256617012.3498
2023-03-11,0.1599,0.164,0.1323,0.1467,2914315071.0,420818265.633,645159.0,1434372046.0,207090389.4606
2023-03-12,0.1466,0.1848,0.1408,0.1834,2615763011.0,397140875.1902,656426.0,1330662283.0,202454294.9621
2023-03-13,0.1833,0.2775,0.1827,0.2586,9176703587.0,2050059307.3907,3084851.0,4742442144.0,1059576679.856
2023-03-14,0.2585,0.3364,0.2401,0.3003,9554416146.0,2740251414.1963,3886069.0,4828293716.0,1385065970.241
2023-03-15,0.3003,0.3678,0.2468,0.2739,9207545736.0,2842303638.0506,4124288.0,4588094534.0,1416591571.2022
2023-03-16,0.2738,0.3088,0.2612,0.2922,5459452292.0,1563679950.5424,2369494.0,2718910530.0,779295713.9409
2023-03-17,0.2922,0.3995,0.2822,0.3955,7390642708.0,2480559390.6606,3460347.0,3756496443.0,1261765456.1846
2023-03-18,0.3955,0.4355,0.3639,0.3766,6390632390.0,2571330642.5978,3470887.0,3169280818.0,1276226076.6217
2023-03-19,0.3765,0.4888,0.3724,0.4554,5633282118.0,2371657727.4416,3290040.0,2838853712.0,1195532363.2857
2023-03-20,0.4554,0.464,0.39,0.3983,4804983612.0,2066593491.5222,2785828.0,2368424692.0,1019428644.9689
2023-03-21,0.3983,0.4484,0.3812,0.4082,4127948838.0,1707698348.0583,2243243.0,2062462760.0,853760334.1063
2023-03-22,0.4081,0.4256,0.3617,0.3748,3629138074.0,1446157695.4082,1990076.0,1778294881.0,709107935.5036
2023-03-23,0.3748,0.3989,0.3575,0.3785,2810108161.0,1061702683.4934,1375480.0,1387494657.0,524490264.8102
2023-03-24,0.3784,0.3788,0.3204,0.3302,2364837856.0,810648274.1652,1119576.0,1138528575.0,390255565.8486
2023-03-25,0.3302,0.346,0.3068,0.3125,1840518108.0,596730113.6143,1016717.0,905699372.0,293937837.0646
2023-03-26,0.3124,0.3585,0.3078,0.3518,2526787119.0,851517967.0854,1167280.0,1268948895.0,427733918.3192
2023-03-27,0.3518,0.3518,0.3053,0.3197,2516146907.0,830830010.5069,1146636.0,1210341342.0,399774733.8251
2023-03-28,0.3198,0.358,0.308,0.3539,2437161677.0,801343858.0768,1122439.0,1228293341.0,404249734.0469
2023-03-29,0.354,0.4427,0.349,0.4294,3461294659.0,1357020792.4067,1749001.0,1746953032.0,685152644.4245
2023-03-30,0.4294,0.4435,0.3854,0.4035,3497065959.0,1459125621.6923,1954166.0,1722735481.0,719328025.9608
2023-03-31,0.4034,0.4281,0.3952,0.4127,2126129996.0,878306956.4436,1126002.0,1051376483.0,434480141.7493
2023-04-01,0.4126,0.4279,0.39,0.3957,1292396223.0,528960760.4378,847634.0,615771980.0,252324780.8996
2023-04-02,0.3957,0.3996,0.361,0.3702,1223855947.0,462319936.5992,741851.0,587926115.0,222213677.386
2023-04-03,0.3702,0.3987,0.3463,0.3642,2455171418.0,913607326.2516,1407593.0,1197690193.0,445983684.3047
2023-04-04,0.3641,0.3813,0.3561,0.3686,1277573017.0,469288296.1338,767139.0,626462893.0,230184234.3201
2023-04-05,0.3686,0.4066,0.3629,0.3872,1799562723.0,697765341.9604,1118444.0,889334843.0,344998722.7509
2023-04-06,0.3872,0.3959,0.3655,0.3728,1372769704.0,520376750.4669,922011.0,657006157.0,249203581.6705
2023-04-07,0.3728,0.3809,0.3598,0.3719,925688111.0,341681806.2668,614588.0,450352893.0,166350686.8025
2023-04-08,0.3719,0.3841,0.3664,0.368,799518487.0,300493946.1071,528376.0,395686542.0,148812086.7286
2023-04-09,0.3681,0.3798,0.3605,0.3759,956630441.0,354171595.1168,590416.0,478000808.0,177031156.0608
2023-04-10,0.3758,0.44,0.367,0.4347,2593422678.0,1058544046.0382,1506821.0,1326583270.0,541779882.9549
2023-04-11,0.4346,0.448,0.4018,0.4043,2686302828.0,1145726013.8877,1521559.0,1331082985.0,568238253.9514
2023-04-12,0.4043,0.4091,0.3735,0.3833,2318284319.0,900054994.2273,1174849.0,1129158669.0,438526423.2145
2023-04-13,0.3832,0.401,0.3736,0.389,1471299559.0,570186964.2749,792708.0,722369005.0,280070711.691
2023-04-14,0.3891,0.4128,0.364,0.378,2140698927.0,823941634.3014,1110245.0,1037857613.0,399630723.7443
2023-04-15,0.3779,0.3814,0.369,0.3752,891307097.0,333674591.846,524974.0,425738023.0,159435527.4414
2023-04-16,0.3752,0.385,0.3706,0.3786,882161654.0,334075926.7473,535531.0,421970687.0,159854581.7826
2023-04-17,0.3785,0.3796,0.3511,0.3587,1110197730.0,404354617.6366,597226.0,516585161.0,188263952.5843
2023-04-18,0.3588,0.376,0.353,0.3667,904287426.0,330941010.9754,512576.0,440361555.0,161185278.306
2023-04-19,0.3668,0.3692,0.3116,0.3209,1439963015.0,478085375.6518,896980.0,670217986.0,222428239.0724
2023-04-20,0.3208,0.3415,0.31,0.3268,1903338694.0,620142225.4834,1215140.0,935451774.0,305037895.9852
