Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2020-06-30,231.58,232.07,212.67,216.38,55540.141,12153672.70205,62960.0,28005.547,6130189.58669
2020-07-01,216.38,216.8,200.0,201.05,66459.787,14014313.84763,60497.0,29574.474,6244177.17479
2020-07-02,201.06,205.0,173.98,179.04,182149.566,34180266.68041,184948.0,87352.766,16385007.4028
2020-07-03,179.04,191.56,170.05,171.73,135389.969,24258754.59247,141867.0,66932.726,12002636.29976
2020-07-04,171.74,186.9,163.01,180.39,196237.08,34496132.1465,181027.0,97925.829,17261678.32634
2020-07-05,180.15,205.0,176.6,201.01,248072.586,48348367.57727,238789.0,132646.495,25888088.35265
2020-07-06,201.01,201.01,187.98,194.76,115208.938,22471783.76165,106003.0,53956.9,10531438.66537
2020-07-07,194.73,196.88,182.32,187.42,82332.953,15717695.3709,65511.0,35828.696,6845143.05542
2020-07-08,187.42,189.61,180.44,184.56,93799.584,17311452.1638,77080.0,42643.903,7875655.87607
2020-07-09,184.55,188.61,176.0,180.1,106907.327,19529901.53959,73973.0,48788.939,8922718.38753
2020-07-10,180.09,180.92,172.6,175.3,84138.139,14828428.6123,65033.0,40892.0,7213031.02193
2020-07-11,175.3,184.66,174.2,178.19,103933.948,18553816.39331,76169.0,46785.261,8352616.21216
2020-07-12,178.19,183.35,175.05,176.67,56543.158,10092262.15078,41100.0,25075.69,4476268.22706
2020-07-13,176.68,178.47,154.53,166.27,116859.235,19761945.38288,89896.0,52506.218,8891063.1826
2020-07-14,166.27,166.9,159.01,163.91,90677.126,14821436.16084,66307.0,39684.309,6481028.49536
2020-07-15,163.9,166.67,159.6,160.11,69218.092,11346847.81669,51098.0,30591.699,5019846.3542
2020-07-16,160.12,165.0,152.0,154.88,85681.162,13382473.21066,63068.0,37192.025,5810447.80954
2020-07-17,154.81,175.0,154.3,167.18,194743.071,32271261.52985,124620.0,91790.98,15219597.11109
2020-07-18,167.28,167.79,160.62,163.86,108988.304,17959025.47729,73518.0,52067.893,8581324.95291
2020-07-19,163.82,164.87,158.95,163.79,62229.475,10109015.65161,44328.0,32048.109,5208522.18649
2020-07-20,163.79,174.0,152.55,158.16,185270.54,30664443.06686,132619.0,90584.148,15024014.213
2020-07-21,158.11,162.3,157.42,159.8,71692.838,11468963.11618,53727.0,35867.103,5737989.98292
2020-07-22,159.81,160.18,153.2,157.59,97658.872,15301147.35584,75895.0,46173.771,7238872.61514
2020-07-23,157.53,162.5,155.0,156.55,80984.125,12868826.81867,66738.0,39130.921,6221592.43853
2020-07-24,156.55,158.28,154.55,155.39,49605.255,7778587.12114,40107.0,22803.515,3577692.13664
2020-07-25,155.39,157.92,154.11,156.21,61497.903,9620500.27473,37685.0,27980.85,4377031.72268
2020-07-26,156.22,164.0,154.47,157.83,120680.464,19173868.72449,80945.0,55038.661,8753649.74862
2020-07-27,157.83,158.78,121.12,135.52,254608.074,35373894.98384,192733.0,114596.086,15894945.9396
2020-07-28,135.54,140.88,128.61,136.81,118997.097,16102170.84575,94671.0,62338.917,8437736.60823
2020-07-29,136.8,139.97,131.4,133.45,62488.341,8428615.11608,52162.0,32896.869,4436852.65407
2020-07-30,133.44,135.94,131.83,133.16,56480.702,7522589.18128,43628.0,29150.112,3883143.27967
2020-07-31,133.1,139.94,129.27,135.02,133749.381,18158383.91778,88007.0,66817.529,9080728.92075
2020-08-01,135.09,144.28,134.32,138.01,138765.668,19402158.02262,98111.0,64308.288,8992946.51204
2020-08-02,138.01,139.84,110.77,127.46,152639.742,19510325.94345,128708.0,64752.867,8277997.39233
2020-08-03,127.44,132.3,124.28,126.67,63142.557,8138945.46965,44339.0,30546.417,3939253.12623
2020-08-04,126.8,133.0,126.29,132.06,64434.838,8371218.91034,43930.0,29019.424,3772552.28992
2020-08-05,131.99,140.95,128.65,134.82,133845.861,18298594.83412,90382.0,66251.813,9062828.13898
2020-08-06,134.82,142.95,132.7,137.17,131708.432,18114564.86289,87957.0,65803.489,9054811.13983
2020-08-07,137.17,156.0,136.7,154.12,333827.691,48853899.38702,207453.0,166118.501,24308721.37769
2020-08-08,154.19,161.0,148.0,153.02,187276.794,29061375.37083,122959.0,89347.405,13879117.68482
2020-08-09,153.14,175.34,148.99,170.97,230591.824,37092925.08618,167021.0,112780.447,18195410.97877
2020-08-10,170.97,187.54,164.83,176.73,241662.413,42734742.90358,195863.0,107890.039,19086741.64539
2020-08-11,176.63,196.0,152.5,193.26,320934.586,55469088.38325,218026.0,148424.544,25778109.87952
2020-08-12,193.59,250.0,189.03,218.47,788393.785,175801844.44423,568019.0,409061.648,91309362.75988
2020-08-13,218.4,230.0,183.0,205.42,533853.988,110024020.67033,338792.0,252401.889,52200493.11617
2020-08-14,205.47,217.36,190.94,196.52,253118.515,51688445.04718,199868.0,121414.965,24801818.40143
2020-08-15,196.53,212.0,185.51,196.01,261602.384,51935987.27566,193232.0,123544.438,24549266.06861
2020-08-16,196.21,207.5,191.6,201.84,201817.321,40472282.51873,162043.0,90206.636,18109137.1227
2020-08-17,201.81,202.94,183.0,184.5,211308.229,40790386.28023,160395.0,95533.117,18468657.77674
2020-08-18,184.42,191.06,170.19,187.6,247874.776,45249739.69408,200660.0,116141.988,21232771.87074
2020-08-19,187.62,204.77,175.0,181.45,318854.785,60184561.11413,203511.0,156318.569,29581834.88176
2020-08-20,181.51,186.46,177.01,180.19,164660.422,29885442.19742,121470.0,77297.913,14040392.6461
2020-08-21,180.18,190.31,162.0,169.85,300286.701,53606721.49872,207924.0,141719.809,25332797.95103
2020-08-22,169.45,175.56,159.24,174.21,184949.931,31135335.16714,149757.0,87643.341,14782088.02307
2020-08-23,174.27,176.19,164.27,169.33,137496.099,23264924.24672,116860.0,75866.321,12839041.98587
2020-08-24,169.35,188.61,166.42,181.51,179153.44,32154845.20919,159760.0,91469.948,16407200.00678
2020-08-25,181.55,188.0,160.9,165.69,205381.971,35433768.54531,152090.0,102531.187,17718813.96276
2020-08-26,165.63,185.0,161.84,179.19,182218.014,31513270.77819,141361.0,96700.352,16710624.2654
2020-08-27,179.3,179.67,163.44,171.57,153396.12,26393458.50248,128836.0,70391.472,12118433.59298
2020-08-28,171.59,203.88,169.5,189.29,242018.86,45659280.59766,216311.0,123982.311,23392097.28524
2020-08-29,189.26,200.42,185.0,193.37,165581.4,31927134.60649,145156.0,86957.02,16776757.33625
2020-08-30,193.4,223.65,191.6,216.36,257712.828,54038729.73948,232169.0,132319.632,27758985.78877
2020-08-31,216.43,246.5,206.63,242.26,296918.594,67655859.5131,252387.0,164806.769,37515053.58093
2020-09-01,242.26,272.6,235.65,254.87,441378.677,111248230.23769,370972.0,230864.581,58238653.83496
2020-09-02,254.7,255.66,202.0,224.86,335937.058,75031539.31285,286263.0,171940.426,38542631.79909
2020-09-03,225.06,240.79,180.6,186.7,395160.99,83882794.33518,335332.0,200595.394,42786337.31545
2020-09-04,186.65,201.04,175.7,186.27,315862.393,59749511.58017,294802.0,173886.228,32929298.89613
2020-09-05,186.16,196.81,147.41,157.37,311516.832,53375240.58099,239939.0,161814.849,27804707.19575
2020-09-06,157.59,177.24,144.35,170.51,224874.662,36199213.62835,173422.0,114551.65,18402655.6267
2020-09-07,170.5,179.68,153.01,179.07,199337.806,33450127.94147,160493.0,111769.154,18766751.36778
2020-09-08,179.02,183.77,165.93,173.57,166751.135,29020774.61382,138082.0,95408.103,16602062.09394
2020-09-09,173.56,184.47,167.3,177.36,145260.959,25470905.294,118473.0,68353.564,11994984.03845
2020-09-10,177.34,185.93,169.66,171.25,132017.66,23478116.56904,109075.0,60418.1,10778327.62083
2020-09-11,171.26,177.47,160.75,172.73,157719.18,26995111.79411,129126.0,66129.154,11325344.32131
2020-09-12,172.69,181.08,168.82,179.99,120622.626,20965880.78569,103163.0,52105.361,9039066.53226
2020-09-13,180.09,184.74,161.28,164.84,150183.164,25899711.16505,127841.0,43987.006,7586385.15382
2020-09-14,165.02,170.52,159.0,165.96,121249.458,20055165.09116,106352.0,35337.785,5847185.52702
2020-09-15,165.95,169.65,152.0,154.49,117091.393,18937750.05413,100452.0,32398.866,5245635.67743
2020-09-16,154.39,154.87,146.78,152.94,125227.078,18976345.77449,104443.0,45593.463,6909021.5766
2020-09-17,153.0,160.92,147.1,157.9,175294.101,26875148.15947,137639.0,68217.1,10472078.85019
2020-09-18,158.02,167.24,150.68,153.77,145885.805,23228702.26842,134580.0,53552.743,8557851.12183
2020-09-19,153.87,156.22,150.61,151.75,99504.827,15200536.42941,94686.0,25657.33,3925084.49924
2020-09-20,151.78,152.7,140.04,144.38,104909.357,15433319.19476,85422.0,27611.544,4043375.26326
2020-09-21,144.41,145.76,124.07,128.26,151348.52,20419972.79573,117965.0,47765.968,6415287.86766
2020-09-22,128.41,145.97,126.9,143.37,150059.78,20568452.8189,112829.0,48385.039,6646206.78896
2020-09-23,143.37,146.69,124.09,127.13,162562.443,22473819.47787,119446.0,56348.867,7804003.86206
2020-09-24,127.18,141.28,125.77,138.49,126896.325,17171869.35107,102487.0,42409.329,5736502.12012
2020-09-25,138.45,143.91,132.88,139.22,135817.227,18665884.06298,103969.0,50654.149,6964134.63012
2020-09-26,139.24,147.24,136.67,143.91,113763.975,16226224.02404,98944.0,43741.622,6238627.87744
2020-09-27,143.88,147.47,135.61,138.84,97790.398,13670361.51462,81033.0,28509.515,3991118.40113
2020-09-28,138.83,141.49,130.06,131.57,155272.781,21097147.96172,110198.0,61773.283,8388755.63277
2020-09-29,131.5,134.57,127.62,132.87,104359.288,13728862.75301,88544.0,58692.947,7728894.88355
2020-09-30,132.87,136.25,130.14,133.61,130330.781,17385926.57742,95297.0,62234.446,8307036.45527
2020-10-01,133.66,140.0,125.0,129.21,130180.988,17255627.2521,91058.0,57707.621,7663563.25909
2020-10-02,129.14,130.76,116.41,120.3,137653.85,16813523.07324,101058.0,49518.031,6035383.46676
2020-10-03,120.3,125.55,119.74,121.3,85915.163,10562014.19464,71094.0,32263.498,3969631.7874
2020-10-04,121.22,122.82,117.0,119.5,95900.649,11525665.21787,79420.0,46574.641,5597431.88489
2020-10-05,119.47,124.56,117.29,122.13,108265.508,13223136.80691,88129.0,47538.149,5808241.60228
2020-10-06,122.08,122.98,101.12,105.56,214254.955,23467027.04531,140700.0,93624.805,10246284.19164
2020-10-07,105.64,111.76,101.3,110.37,219064.192,23140244.57784,141958.0,93179.56,9844252.44148
2020-10-08,110.38,113.88,101.95,108.06,239209.099,25833978.54625,139455.0,100928.522,10896293.30088
2020-10-09,108.07,117.79,103.4,115.4,273955.597,30437408.38871,144316.0,124711.969,13878935.75743
2020-10-10,115.33,119.9,112.25,113.83,185230.197,21519776.98692,115672.0,77237.934,8985533.81959
2020-10-11,113.81,116.95,111.15,115.61,125190.776,14251819.99239,89169.0,51133.284,5825124.89536
2020-10-12,115.63,120.7,112.04,116.78,167438.281,19443030.07685,112840.0,75076.5,8734586.05217
2020-10-13,116.82,119.01,111.6,113.81,129921.474,14994283.50665,86579.0,54649.664,6317061.50147
2020-10-14,113.94,115.26,105.32,107.21,131541.589,14543169.98875,93409.0,57114.097,6299592.32197
2020-10-15,107.29,109.77,104.51,107.01,128158.12,13726813.16573,91112.0,56775.413,6084690.84638
2020-10-16,106.96,107.01,99.12,103.34,120293.345,12399263.44064,85704.0,42967.801,4440003.1948
2020-10-17,103.42,105.75,101.46,103.16,73754.133,7645265.99023,55523.0,24652.822,2558676.71653
2020-10-18,103.19,108.0,102.57,104.83,99015.069,10440912.373,61105.0,40454.994,4268661.584
2020-10-19,104.84,105.74,101.46,102.84,80857.008,8366205.30566,59826.0,29652.21,3071550.46085
2020-10-20,102.83,102.89,92.62,94.85,130687.551,12603011.97439,80853.0,52800.189,5083472.0179
2020-10-21,94.87,99.94,92.73,95.47,134488.295,12996488.30441,78898.0,64851.725,6268292.78886
2020-10-22,95.46,103.05,95.42,102.3,139496.837,13837263.41626,79359.0,72949.064,7235343.94506
2020-10-23,102.3,106.48,99.38,103.12,133213.402,13766261.15944,109681.0,63660.63,6581561.88412
2020-10-24,103.12,107.74,101.0,105.19,115879.275,12167092.26672,133340.0,65032.005,6835782.20956
2020-10-25,105.19,105.48,101.09,101.18,98435.217,10213249.81837,84244.0,38727.527,4025349.38615
2020-10-26,101.17,104.5,97.65,99.96,127021.136,12828427.20791,91390.0,50869.521,5144026.68908
2020-10-27,99.9,113.7,99.55,108.72,252316.114,27544622.38895,139337.0,123070.293,13427722.599
2020-10-28,108.69,120.23,104.49,107.71,369126.864,42040604.32572,206941.0,174998.73,19974088.82891
2020-10-29,107.71,111.84,94.0,96.85,259475.35,26025504.05206,144597.0,108329.532,10861908.01891
2020-10-30,96.85,98.91,88.2,92.06,220702.256,20437504.15827,131994.0,96110.76,8904459.84029
2020-10-31,92.06,95.0,89.0,90.77,135432.839,12463018.53979,81918.0,64126.056,5906643.9783
2020-11-01,90.75,96.25,89.29,93.92,102647.939,9481530.15281,71771.0,46412.173,4289779.72027
2020-11-02,93.91,98.98,90.13,91.15,129634.326,12193325.52879,87896.0,64851.958,6092453.37968
2020-11-03,91.1,91.1,80.5,87.49,199495.816,17038027.08228,110348.0,93870.393,8019033.96775
2020-11-04,87.48,88.99,81.3,88.63,160973.265,13816038.21403,100711.0,82236.973,7063900.65649
2020-11-05,88.68,93.67,83.21,90.74,178810.572,15849318.45683,99604.0,89389.258,7929974.30276
2020-11-06,90.75,99.77,88.56,95.78,269849.777,25582625.32847,138712.0,128843.767,12202078.25979
2020-11-07,95.7,111.97,89.32,92.38,485706.647,49328838.29188,213117.0,239283.902,24350214.91157
2020-11-08,92.42,101.07,91.28,97.11,187442.319,18104069.54461,113619.0,89468.487,8653722.24184
2020-11-09,97.11,100.42,93.16,94.72,172016.095,16634694.08983,104558.0,82723.614,8008173.72348
2020-11-10,94.78,105.09,93.78,102.34,194539.461,19578456.33716,109499.0,92541.286,9319309.67375
2020-11-11,102.4,114.0,101.81,103.01,278908.852,30226337.84183,145740.0,130483.071,14155351.69145
2020-11-12,103.01,108.38,99.24,104.08,160687.466,16648384.08524,96736.0,73453.561,7617241.89303
2020-11-13,104.13,118.12,103.14,116.67,266142.206,28753439.39233,135798.0,138870.973,15044156.97678
2020-11-14,116.83,124.54,107.32,121.57,434881.631,50112258.51241,208782.0,217221.322,25088152.28448
2020-11-15,121.58,130.49,113.51,120.13,366402.611,44989861.55217,200627.0,179144.541,22038478.39982
2020-11-16,120.03,124.92,114.5,120.31,224828.384,27104163.77373,139429.0,120303.195,14519177.84142
