Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2021-03-10,0.3752,0.48338,0.3752,0.40795,97873324.0,42430287.08764,157410.0,41478565.0,18029319.71581
2021-03-11,0.40795,0.43482,0.36263,0.37294,92073361.0,35713704.90367,131921.0,38242960.0,14858719.64282
2021-03-12,0.37338,0.394,0.32391,0.34101,97407148.0,35078304.71101,137956.0,39302717.0,14156569.77089
2021-03-13,0.34156,0.39688,0.31104,0.38954,91957169.0,33333198.7205,122062.0,41513538.0,15062377.95319
2021-03-14,0.38953,0.41229,0.33466,0.35121,86311150.0,31369253.28809,109445.0,37894201.0,13793066.08244
2021-03-15,0.3502,0.41607,0.319,0.37842,122516625.0,44994184.828,155878.0,55631155.0,20463211.25802
2021-03-16,0.37844,0.428,0.34632,0.36821,132249476.0,51824239.00417,172826.0,60678252.0,23844059.80839
2021-03-17,0.36821,0.42209,0.361,0.4132,74738989.0,28966229.0647,113100.0,33775554.0,13100985.92236
2021-03-18,0.41407,0.42317,0.381,0.38871,64078673.0,25646447.40142,91077.0,28366267.0,11369237.4388
2021-03-19,0.38952,0.44221,0.373,0.4148,82037628.0,34525677.26264,127194.0,35422134.0,14923845.00507
2021-03-20,0.4148,0.47,0.41275,0.44769,100792884.0,45247526.75563,138936.0,45690896.0,20527680.69921
2021-03-21,0.44772,0.5,0.42537,0.46697,174153034.0,81074830.50686,259771.0,81086822.0,37830681.41597
2021-03-22,0.4675,0.55555,0.44364,0.49768,220116825.0,112338207.43876,383315.0,102326195.0,52300825.01559
2021-03-23,0.4973,0.58,0.48318,0.49928,232387368.0,124094903.21393,453905.0,106642167.0,57087066.18196
2021-03-24,0.49927,0.52185,0.35943,0.41618,192053185.0,89256346.71963,310799.0,83168620.0,38635924.30634
2021-03-25,0.41679,0.456,0.385,0.4304,162372392.0,67786090.93859,246889.0,76268084.0,31845817.3879
2021-03-26,0.4304,0.50049,0.43025,0.45327,120979275.0,56591769.32818,202601.0,55848652.0,26141945.67574
2021-03-27,0.45335,0.48,0.43607,0.443,84858262.0,38687900.18663,130206.0,37388244.0,17063778.5167
2021-03-28,0.4435,0.48404,0.43154,0.45416,101053115.0,46442918.33397,154632.0,43597211.0,20039584.26666
2021-03-29,0.45433,0.48655,0.44655,0.47587,90159004.0,42366180.25284,146084.0,39851021.0,18740542.0704
2021-03-30,0.47659,0.53227,0.46902,0.51504,128252580.0,64144960.9616,214907.0,58053641.0,29060082.59383
2021-03-31,0.51483,0.52224,0.43,0.4542,152093895.0,70635355.28132,248285.0,66061614.0,30683043.08211
2021-04-01,0.45461,0.46589,0.40664,0.42306,126556930.0,55342290.62762,183784.0,53251332.0,23310824.04333
2021-04-02,0.42285,0.43729,0.41,0.41796,88406873.0,37478619.42218,137288.0,37751848.0,16019629.61623
2021-04-03,0.41793,0.43387,0.37056,0.37826,134687101.0,54673897.66659,193156.0,59092047.0,23997565.28984
2021-04-04,0.37812,0.425,0.37,0.40659,105330992.0,42309790.60483,153455.0,47647425.0,19148857.35818
2021-04-05,0.40658,0.4105,0.38547,0.39254,72760001.0,29079131.24326,111993.0,31494235.0,12594332.36384
2021-04-06,0.39285,0.44988,0.38,0.43549,191858058.0,80334425.08595,271078.0,87292983.0,36591391.96082
2021-04-07,0.43513,0.44541,0.3253,0.37032,176313454.0,67028696.7744,231465.0,78998998.0,30070058.36155
2021-04-08,0.37048,0.39938,0.3675,0.38481,68835156.0,26446175.41011,102000.0,32353093.0,12431665.56542
2021-04-09,0.3848,0.41204,0.377,0.38591,86484949.0,33892870.80603,129131.0,37993310.0,14899772.46229
2021-04-10,0.38616,0.39423,0.35169,0.36523,72123135.0,26793411.31158,101659.0,30481996.0,11330862.75622
2021-04-11,0.36552,0.37111,0.34603,0.3643,56631076.0,20416394.78062,81095.0,24616497.0,8883274.91259
2021-04-12,0.36469,0.37823,0.34189,0.35211,63507399.0,22809533.14245,90630.0,27168917.0,9767940.14699
2021-04-13,0.3521,0.36063,0.34371,0.34748,58758029.0,20602079.72761,79550.0,25457762.0,8930358.83726
2021-04-14,0.34773,0.35002,0.29894,0.32991,137727691.0,45375509.59421,176637.0,59221691.0,19532519.91633
2021-04-15,0.32996,0.39193,0.32949,0.37263,181634238.0,66069967.31105,241716.0,82520525.0,30041881.32681
2021-04-16,0.37293,0.39874,0.34094,0.35841,123842336.0,45535361.72031,192969.0,57092639.0,21015167.9605
2021-04-17,0.35867,0.38565,0.34714,0.34909,95003819.0,34919053.38484,164198.0,42683927.0,15704616.83035
2021-04-18,0.34941,0.35337,0.21366,0.30318,260921910.0,76646918.79074,361955.0,119456129.0,35076561.98022
2021-04-19,0.30317,0.31854,0.26,0.26277,120151540.0,34455586.87303,167807.0,55877995.0,16037792.50938
2021-04-20,0.26305,0.349,0.23661,0.34003,326427810.0,97500929.87154,414721.0,158713831.0,47413259.81428
2021-04-21,0.33956,0.38327,0.305,0.30991,367255340.0,127107396.7473,447154.0,181108917.0,62767801.97502
2021-04-22,0.31013,0.33081,0.26995,0.27669,158310629.0,48677531.23157,194249.0,75532366.0,23226951.45647
2021-04-23,0.27665,0.3244,0.22428,0.31215,294945321.0,81428684.38885,359706.0,142525633.0,39419120.85145
2021-04-24,0.31225,0.31319,0.26422,0.26797,115885207.0,32778067.8674,154301.0,55865014.0,15805705.53992
2021-04-25,0.26796,0.29321,0.2481,0.26432,104596716.0,28792289.59069,129797.0,50414733.0,13892125.19654
2021-04-26,0.2642,0.32287,0.26212,0.31461,100375452.0,30260685.82138,147903.0,48786660.0,14717388.92787
2021-04-27,0.31486,0.39667,0.30911,0.38838,189249576.0,70016253.12211,274773.0,92071248.0,34075862.15267
2021-04-28,0.38827,0.401,0.3376,0.38302,161942963.0,60013362.02161,226812.0,77298408.0,28673184.58525
2021-04-29,0.38282,0.4303,0.35392,0.39697,211374459.0,84236593.21079,313248.0,100153795.0,39939851.28932
2021-04-30,0.39686,0.4182,0.3869,0.40434,108483745.0,43536170.73777,167832.0,50601192.0,20316101.18689
2021-05-01,0.40434,0.4285,0.39321,0.40128,108469112.0,44616470.3929,172689.0,49759168.0,20481422.84234
2021-05-02,0.40123,0.40237,0.36281,0.38255,104051447.0,40167866.26202,155201.0,46628437.0,18009134.96977
2021-05-03,0.38245,0.39978,0.36455,0.3712,79232249.0,30575527.10332,119635.0,35011186.0,13529611.86169
2021-05-04,0.3712,0.37647,0.32521,0.32985,124029451.0,43516181.63605,175028.0,56311148.0,19770976.38078
2021-05-05,0.32986,0.37713,0.323,0.3631,97197376.0,34724074.69565,152853.0,44491474.0,15896297.96976
2021-05-06,0.36302,0.36955,0.33696,0.34587,78753934.0,27938554.27303,121663.0,36384176.0,12917307.98653
2021-05-07,0.34601,0.37492,0.33316,0.35606,78633301.0,28007282.07502,130275.0,35843898.0,12764055.79899
2021-05-08,0.35619,0.40078,0.3495,0.38401,141847266.0,53785308.50236,205896.0,65820385.0,24991662.60338
2021-05-09,0.38401,0.38682,0.34751,0.36393,80620788.0,29439611.48878,131751.0,36814083.0,13454866.7526
2021-05-10,0.36397,0.37686,0.2861,0.32543,98227948.0,33699369.81989,158870.0,44023426.0,15146515.34943
2021-05-11,0.32532,0.35864,0.31319,0.3569,74226332.0,24628780.92077,143194.0,35349711.0,11740198.24913
2021-05-12,0.35713,0.40099,0.30717,0.31653,172358608.0,63897627.93004,267828.0,80246954.0,29834330.17049
2021-05-13,0.31647,0.3615,0.29613,0.34047,124839249.0,41145278.14708,197070.0,59982543.0,19792351.84132
2021-05-14,0.34047,0.39348,0.33792,0.39251,94081068.0,34802912.64077,177114.0,44718003.0,16547796.50351
2021-05-15,0.39297,0.46782,0.37411,0.42791,242160678.0,102930937.76319,416957.0,116130699.0,49370749.04491
2021-05-16,0.42854,0.48621,0.38412,0.41689,190904506.0,84188064.79632,351660.0,93553533.0,41243009.90694
2021-05-17,0.41691,0.42635,0.357,0.36684,130541075.0,50841065.22441,219062.0,61185218.0,23824287.78614
2021-05-18,0.3667,0.398,0.36,0.3671,101079265.0,37958329.06893,171426.0,47652754.0,17904011.01085
2021-05-19,0.36738,0.37729,0.13077,0.24734,199157799.0,56044593.76574,295219.0,93439516.0,26438305.2328
2021-05-20,0.24746,0.31,0.21501,0.2756,133942649.0,36264920.80423,206486.0,65303932.0,17681400.74195
2021-05-21,0.27562,0.28929,0.18753,0.22509,115740160.0,27570010.27764,159891.0,56156193.0,13372945.90997
2021-05-22,0.22522,0.2321,0.19067,0.19715,80619482.0,16863593.25982,117026.0,39005229.0,8165348.70773
2021-05-23,0.19688,0.20713,0.12382,0.16071,156870256.0,24401930.71526,156999.0,76366195.0,11880823.47127
2021-05-24,0.16056,0.21841,0.16027,0.21344,163035266.0,31623906.92017,171324.0,81088270.0,15723825.56978
2021-05-25,0.21335,0.22335,0.18461,0.22008,98371129.0,19963884.00735,129955.0,47543941.0,9662595.97103
