Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2023-01-17,0.2255,0.2845,0.2238,0.2791,1264439423.0,336151765.4451,1235994.0,619627495.0,164955095.3272
2023-01-18,0.2792,0.2986,0.231,0.2486,822124828.0,224827250.8919,939554.0,400108827.0,109583806.7525
2023-01-19,0.2487,0.2745,0.2439,0.2722,288226302.0,74713525.8617,325042.0,143202695.0,37146219.9416
2023-01-20,0.2722,0.295,0.258,0.2831,300450380.0,82423886.1533,300992.0,144874173.0,39765776.4833
2023-01-21,0.2832,0.3081,0.2654,0.2681,309200541.0,88897164.0777,337054.0,141822382.0,40821015.8188
2023-01-22,0.2682,0.2842,0.25,0.2656,146741499.0,39943329.8463,183447.0,69500707.0,18934590.3732
2023-01-23,0.2656,0.3079,0.263,0.285,400587151.0,115675813.6859,449593.0,191146809.0,55238185.658
2023-01-24,0.2851,0.2938,0.251,0.2661,199713950.0,55940690.3221,227328.0,91971401.0,25783601.2085
2023-01-25,0.266,0.2799,0.252,0.2704,181541642.0,48132153.6577,197658.0,88603548.0,23501656.8116
2023-01-26,0.2705,0.2819,0.2597,0.2637,126314628.0,34063615.5009,147726.0,60487774.0,16328672.9633
2023-01-27,0.2638,0.3,0.2555,0.2812,230910010.0,65016932.6632,252501.0,111095116.0,31297279.2739
2023-01-28,0.2813,0.3131,0.2791,0.2948,285648882.0,83644481.5607,280110.0,136088445.0,39890189.0428
2023-01-29,0.2949,0.2974,0.2833,0.2898,118354672.0,34217270.9671,129142.0,54040052.0,15630271.9078
2023-01-30,0.2898,0.2898,0.2575,0.266,116132867.0,31632440.7697,131673.0,51923726.0,14146919.709
2023-01-31,0.266,0.2876,0.2583,0.2753,152997196.0,41838397.7407,159346.0,74448208.0,20372849.6853
2023-02-01,0.2754,0.3005,0.2572,0.2892,210123694.0,58170025.3251,222212.0,104010203.0,28836143.563
2023-02-02,0.2893,0.3037,0.2716,0.2751,205944663.0,59696462.7017,210428.0,92953073.0,26967827.4912
2023-02-03,0.275,0.3382,0.2682,0.3303,470781712.0,146123683.3284,454184.0,231939057.0,72069597.6798
2023-02-04,0.3304,0.3513,0.315,0.332,557602557.0,184808178.1539,513083.0,273053402.0,90570053.2231
2023-02-05,0.3321,0.4646,0.3268,0.4495,1231779431.0,486954992.1603,1339833.0,623536092.0,247060249.7302
2023-02-06,0.4496,0.4764,0.4063,0.4329,971689519.0,425872537.1583,1286659.0,481260693.0,211006710.3884
2023-02-07,0.433,0.6,0.4329,0.5414,1129780754.0,600317366.2884,1676418.0,567017546.0,301148103.1114
2023-02-08,0.5413,0.6092,0.4443,0.4776,926698980.0,477823521.237,1302796.0,439978051.0,227040016.8016
2023-02-09,0.4777,0.4971,0.3636,0.3893,819235654.0,362866986.4946,1143673.0,385084261.0,170893714.8074
2023-02-10,0.3893,0.4522,0.3784,0.4217,720520262.0,302485146.4767,1003299.0,354389234.0,148864130.4104
2023-02-11,0.4217,0.4291,0.3961,0.417,286946981.0,118237787.7126,329067.0,136610453.0,56316480.1962
2023-02-12,0.4169,0.425,0.3922,0.398,238167217.0,98145815.5855,297755.0,110335513.0,45500881.6241
2023-02-13,0.3981,0.4089,0.3653,0.3856,302377120.0,117039185.1763,352143.0,143953141.0,55744968.5485
2023-02-14,0.3856,0.463,0.3777,0.4526,798692816.0,346103677.9418,956479.0,399514753.0,173225800.6842
2023-02-15,0.4526,0.48,0.4074,0.4735,494379651.0,220026846.8902,617808.0,238185279.0,106102124.8909
2023-02-16,0.4736,0.4838,0.4101,0.4131,383630473.0,174899269.9719,489813.0,175519434.0,80142472.3194
2023-02-17,0.4131,0.4484,0.4112,0.4429,234504525.0,101932056.9424,275319.0,116934627.0,50829761.1128
2023-02-18,0.4428,0.4554,0.4292,0.4321,142716019.0,62544713.0315,166124.0,66456423.0,29137434.0372
2023-02-19,0.4322,0.4431,0.407,0.4144,156934310.0,67271854.8878,177220.0,72811682.0,31248065.0729
2023-02-20,0.4145,0.4305,0.4003,0.4178,127313863.0,53445970.4559,171959.0,60422579.0,25378121.3801
2023-02-21,0.4179,0.5021,0.4121,0.4345,753011314.0,346875975.0436,912440.0,361517642.0,166775137.617
2023-02-22,0.4345,0.4418,0.4032,0.438,301872683.0,127207814.0104,376928.0,143758335.0,60624954.3532
2023-02-23,0.4379,0.4729,0.4262,0.4364,269491447.0,120581725.3048,362182.0,128369918.0,57454960.4526
2023-02-24,0.4365,0.4808,0.4275,0.474,650633709.0,298817384.174,805707.0,316536615.0,145529671.1048
2023-02-25,0.4739,0.4831,0.404,0.4262,389884657.0,170699983.7673,482490.0,181821217.0,79672090.4881
2023-02-26,0.4261,0.437,0.4166,0.4337,195284868.0,83573227.6713,258453.0,93407112.0,39990501.6606
2023-02-27,0.4337,0.4508,0.4208,0.4344,211889339.0,92227209.6336,289819.0,103587047.0,45112997.6556
2023-02-28,0.4345,0.4918,0.4296,0.4397,573634513.0,260043291.0331,710014.0,275339362.0,124883502.9228
2023-03-01,0.4397,0.4937,0.4385,0.4839,455485506.0,215189907.4168,569167.0,223226668.0,105492406.2109
2023-03-02,0.4838,0.4877,0.4481,0.4682,298792409.0,138194224.7214,396494.0,141635049.0,65511693.5102
2023-03-03,0.4683,0.4701,0.394,0.4395,391519061.0,168138931.9799,458485.0,188375472.0,80817548.6814
2023-03-04,0.4396,0.4539,0.4066,0.4296,303589523.0,130385324.3056,345669.0,148540040.0,63816914.5393
2023-03-05,0.4295,0.445,0.4231,0.4315,221406853.0,96035895.2963,281233.0,109917432.0,47702211.2413
2023-03-06,0.4315,0.4316,0.4104,0.4188,165414127.0,69686753.4086,244833.0,81302495.0,34265454.2443
2023-03-07,0.4189,0.4284,0.385,0.3996,283523774.0,114704808.8703,360468.0,137664633.0,55774703.4332
2023-03-08,0.3996,0.4049,0.3376,0.3474,318325756.0,117928931.4107,383649.0,152917383.0,56673712.2704
2023-03-09,0.3474,0.3719,0.3121,0.3196,400758055.0,137008602.6528,439247.0,196962413.0,67377242.7674
2023-03-10,0.3196,0.3375,0.2957,0.3336,503939577.0,160765635.4238,510345.0,253356776.0,80858219.7768
2023-03-11,0.3337,0.3407,0.3022,0.3152,273858420.0,86923138.9106,324964.0,134728926.0,42764005.3396
2023-03-12,0.315,0.3879,0.3079,0.3796,327492346.0,107993193.3805,356494.0,162453144.0,53499156.0152
2023-03-13,0.3797,0.4022,0.3533,0.3885,416193340.0,157879973.4677,525619.0,207006173.0,78511111.4455
2023-03-14,0.3885,0.4845,0.3741,0.4506,656325457.0,285470024.4894,879439.0,320360695.0,139372474.2896
2023-03-15,0.4505,0.483,0.3762,0.4094,649181000.0,280547833.4223,861608.0,308266775.0,133270968.478
2023-03-16,0.4093,0.4375,0.3954,0.421,391971202.0,164623014.1544,565001.0,190537771.0,80031258.8102
2023-03-17,0.421,0.4517,0.4096,0.4515,329040235.0,142058580.4335,461472.0,160283716.0,69213673.4484
2023-03-18,0.4516,0.4615,0.4085,0.4172,278756396.0,122982648.9238,425471.0,129453149.0,57161797.3829
2023-03-19,0.4171,0.4351,0.4118,0.4195,189547070.0,80246748.167,300270.0,92048581.0,38971046.1435
2023-03-20,0.4195,0.4225,0.3829,0.392,237421953.0,95581792.8902,371147.0,113663625.0,45750132.0143
2023-03-21,0.392,0.4149,0.3785,0.3953,201607200.0,79902375.1231,334872.0,97818119.0,38790736.6216
2023-03-22,0.3954,0.4035,0.3597,0.3789,246278524.0,95489550.371,397953.0,118725491.0,46069781.9668
2023-03-23,0.3789,0.3932,0.373,0.3865,146565459.0,56116767.2338,219529.0,70752444.0,27101785.7235
2023-03-24,0.3865,0.3883,0.3583,0.3674,141254372.0,52552854.147,227732.0,67247985.0,25012830.8252
2023-03-25,0.3675,0.3773,0.356,0.3637,95936790.0,35108828.9761,155513.0,46384054.0,16982447.4244
2023-03-26,0.3637,0.3782,0.3603,0.372,87252633.0,32322354.2262,133452.0,44011658.0,16309464.8033
2023-03-27,0.3721,0.3742,0.3331,0.3457,123949376.0,43557221.5634,188282.0,58548062.0,20575833.7167
2023-03-28,0.3456,0.3588,0.3324,0.3557,152809095.0,52637151.025,215866.0,75426000.0,25998880.8979
2023-03-29,0.3558,0.4064,0.3537,0.3846,353796178.0,133584749.2929,414968.0,172616145.0,65187269.759
2023-03-30,0.3846,0.3902,0.3548,0.3651,178025218.0,66009206.446,268111.0,82195292.0,30459734.1066
2023-03-31,0.3652,0.3704,0.3536,0.3662,104398612.0,37963859.5649,177893.0,49691678.0,18076261.7445
2023-04-01,0.3661,0.3766,0.3584,0.3634,72133635.0,26391425.217,126499.0,33793956.0,12370623.1176
2023-04-02,0.3634,0.3641,0.3425,0.349,63627778.0,22561107.826,131617.0,29055155.0,10314133.209
2023-04-03,0.3491,0.3601,0.3363,0.3511,113751540.0,39691192.3034,205705.0,54180872.0,18914993.5539
2023-04-04,0.3511,0.3636,0.3447,0.361,114869068.0,40726179.0279,194129.0,56111655.0,19904134.2097
2023-04-05,0.361,0.3752,0.3524,0.3638,127505466.0,46301485.7934,208236.0,59105572.0,21469411.5665
2023-04-06,0.3638,0.3646,0.3481,0.3525,84759337.0,30131174.8991,141727.0,39290341.0,13970633.5811
2023-04-07,0.3526,0.3536,0.3413,0.3451,73554904.0,25450433.1113,125810.0,33583413.0,11623618.5305
2023-04-08,0.3452,0.3481,0.335,0.339,63639222.0,21775439.5904,107585.0,28815094.0,9870376.965
2023-04-09,0.339,0.3518,0.3248,0.3436,111115649.0,37428950.4859,163836.0,52976486.0,17854073.7215
2023-04-10,0.3437,0.3577,0.3363,0.3557,127188465.0,43964939.365,171512.0,62844922.0,21743244.659
2023-04-11,0.3557,0.3645,0.35,0.3525,178426435.0,63801090.8846,230138.0,82834244.0,29636029.3892
2023-04-12,0.3525,0.3543,0.3306,0.3417,161050847.0,54848300.8624,214765.0,76193999.0,25945409.0867
2023-04-13,0.3418,0.3649,0.3377,0.3611,159182573.0,56070061.0756,207547.0,77922778.0,27442582.4142
2023-04-14,0.3612,0.4158,0.3605,0.4053,541967021.0,211326032.1538,634044.0,262460988.0,102376786.2375
2023-04-15,0.4054,0.4258,0.3914,0.4078,429599718.0,177140342.2235,501032.0,204696531.0,84466707.1292
2023-04-16,0.4078,0.4129,0.395,0.4057,180835661.0,73305436.8947,242633.0,84186172.0,34145867.9042
2023-04-17,0.4056,0.4485,0.392,0.4267,466734293.0,196708964.811,556522.0,226378355.0,95493315.599
2023-04-18,0.4267,0.4451,0.4122,0.4247,321225901.0,137268244.7222,414110.0,152615566.0,65275679.2988
2023-04-19,0.4247,0.4286,0.3629,0.3729,341571890.0,134109361.8991,446823.0,154105321.0,60527179.9986
2023-04-20,0.3729,0.3811,0.347,0.3639,262050721.0,96073859.0578,338752.0,125421821.0,45997953.8238
