Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2023-02-17,79.32,83.86,78.12,82.22,112822.39,9103985.6971,48283.0,51624.35,4170611.3442
2023-02-18,82.22,85.57,78.4,80.59,213292.98,17580515.2874,92805.0,96843.4,7995374.617
2023-02-19,80.59,82.0,76.66,77.63,139653.22,11145831.6543,65863.0,60794.81,4853432.271
2023-02-20,77.61,79.77,74.36,78.66,168740.72,13170495.1865,93072.0,74622.12,5831564.0851
2023-02-21,78.68,82.69,74.68,76.94,216777.71,16970245.5795,118396.0,94351.02,7394410.6179
2023-02-22,76.96,77.77,71.2,74.68,206261.46,15219302.8152,94721.0,95312.76,7038287.704
2023-02-23,74.69,80.29,73.84,75.13,266534.33,20437015.6591,106350.0,124798.37,9579549.2352
2023-02-24,75.07,78.38,71.3,74.02,186195.35,13908546.1628,75566.0,88076.56,6585194.7237
2023-02-25,74.01,74.02,69.57,72.25,105003.35,7538899.2538,46213.0,46558.65,3344538.2007
2023-02-26,72.24,76.31,71.45,75.74,104650.39,7680756.6104,48282.0,52267.75,3841782.0652
2023-02-27,75.74,77.06,73.29,74.76,143924.34,10797615.5243,59126.0,67090.42,5041199.8664
2023-02-28,74.77,75.36,71.53,71.67,85811.31,6322306.8658,37215.0,38355.58,2828168.0588
2023-03-01,71.7,77.11,71.33,76.8,187920.44,14021482.9818,66486.0,88133.81,6581908.3661
2023-03-02,76.82,78.11,70.61,72.82,197931.98,14703966.319,65495.0,85188.8,6334292.5178
2023-03-03,72.8,72.88,66.3,67.92,154505.19,10654450.3286,59118.0,68312.12,4712330.3224
2023-03-04,67.88,69.55,64.46,65.77,128806.9,8679609.3065,47035.0,58130.85,3921558.3406
2023-03-05,65.79,68.92,65.18,68.06,112108.86,7581630.9099,43519.0,58788.04,3977694.3649
2023-03-06,68.01,72.23,66.78,71.38,476852.23,33628179.6521,145268.0,247256.4,17444689.8188
2023-03-07,71.38,73.35,69.01,71.65,427332.97,30447273.2761,136428.0,210867.44,15032885.0143
2023-03-08,71.65,72.42,67.51,67.69,364508.14,25594392.2911,112560.0,176324.12,12383542.1507
2023-03-09,67.69,68.83,62.1,64.51,290230.59,19158583.9911,98632.0,138437.27,9138940.1002
2023-03-10,64.49,64.61,59.63,63.54,336572.88,21064786.5694,122952.0,170170.79,10656514.1509
2023-03-11,63.49,64.96,52.81,61.06,909680.34,52933820.1893,246814.0,458636.38,26661093.2093
2023-03-12,61.05,68.43,59.15,68.1,482804.83,29897629.7039,147427.0,249021.01,15431746.0362
2023-03-13,68.1,76.06,64.88,74.72,517621.61,35971483.3908,203521.0,256081.87,17813502.4306
2023-03-14,74.71,80.63,72.54,75.35,500406.46,37974133.8618,241275.0,242805.6,18442544.9125
2023-03-15,75.34,82.17,69.32,79.24,1086759.69,82931527.556,411066.0,532818.56,40643243.9163
2023-03-16,79.21,85.33,74.45,76.14,2941439.97,234307920.6181,815383.0,1507122.54,120221701.6366
2023-03-17,76.12,83.23,75.06,83.03,892248.96,70772794.5962,285203.0,439091.08,34860478.1786
2023-03-18,83.05,86.91,78.22,79.0,551316.36,45418606.5298,195360.0,254406.43,20989983.7331
2023-03-19,79.0,84.0,78.78,81.14,421641.98,34150914.1498,165083.0,207465.26,16817152.8739
2023-03-20,81.17,84.3,78.8,80.02,603217.91,49210648.342,243393.0,289016.52,23595893.4995
2023-03-21,80.01,84.75,75.6,81.55,664251.83,53711639.5754,291727.0,326806.69,26438975.5648
