Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2023-02-07,4.429,4.562,4.001,4.39,14785843.1,63669197.6017,279888.0,6502866.1,28029646.099
2023-02-08,4.391,4.711,3.436,3.85,18176408.5,73183006.5857,325311.0,7694535.0,30964369.6606
2023-02-09,3.85,4.14,2.814,3.039,30857639.7,106609109.5212,500780.0,14082384.1,48715740.9397
2023-02-10,3.036,3.376,2.969,3.193,16507509.7,52261080.5083,274254.0,7792861.7,24701206.0525
2023-02-11,3.192,3.38,3.059,3.296,10223735.5,32728389.6561,156725.0,4805017.1,15394508.5356
2023-02-12,3.296,3.414,3.04,3.101,10236565.0,33361030.5526,151330.0,4546085.1,14832154.8654
2023-02-13,3.1,3.167,2.64,2.796,15843771.6,44919014.4972,194578.0,7343408.2,20813157.5866
2023-02-14,2.797,3.366,2.769,3.321,28982256.3,89182624.6152,345790.0,14302625.0,44129058.6409
2023-02-15,3.319,3.514,3.092,3.5,17396113.0,56602345.4169,198945.0,8429038.1,27447131.102
2023-02-16,3.5,3.755,3.0,3.032,20818597.5,71126670.2298,278044.0,9236646.6,31615859.6192
2023-02-17,3.034,3.226,2.946,3.086,13254423.6,41017789.3765,139050.0,6019822.1,18646081.3044
2023-02-18,3.085,3.48,3.084,3.406,19640170.7,65367155.0311,215698.0,9366797.4,31191510.1742
2023-02-19,3.404,3.878,3.203,3.474,47499049.7,170950666.6634,506171.0,22957068.2,82824014.1512
2023-02-20,3.475,4.377,3.288,4.221,41868151.1,161469327.2184,569451.0,20320077.8,78533704.7616
2023-02-21,4.223,4.223,3.642,3.919,28442155.3,109823449.5528,424396.0,13068455.3,50496701.5093
2023-02-22,3.919,4.015,3.191,3.411,21140867.4,73134837.8531,269564.0,9603502.1,33172040.2606
2023-02-23,3.411,3.561,3.248,3.457,18571300.4,63340636.9965,248447.0,8681374.5,29631580.2808
2023-02-24,3.457,3.489,2.763,2.947,20722977.0,64595420.5603,249092.0,9415189.3,29318537.6233
2023-02-25,2.946,2.969,2.651,2.844,14252228.0,40582411.2728,176105.0,6666519.2,19007692.717
2023-02-26,2.846,2.974,2.74,2.922,10793296.6,30788080.4282,143301.0,5117813.7,14617008.641
2023-02-27,2.921,3.083,2.818,2.971,18976121.9,56009238.1306,240151.0,9031344.6,26675506.0966
2023-02-28,2.972,3.077,2.774,2.802,12270654.5,35787261.5305,168463.0,5759987.6,16807279.3592
2023-03-01,2.802,3.004,2.747,2.956,8881777.8,25796113.4097,118200.0,4277129.0,12429570.0196
2023-03-02,2.954,3.045,2.706,2.794,10960351.5,31061154.6621,137414.0,5066135.4,14369677.9249
2023-03-03,2.794,2.794,2.277,2.454,16934395.2,41691773.2856,178832.0,7893174.9,19401181.3195
2023-03-04,2.453,2.497,2.134,2.214,9395905.6,21826468.2541,100108.0,4434754.3,10316448.5626
2023-03-05,2.214,2.459,2.214,2.347,9616930.7,22628926.5333,111087.0,4808356.7,11316412.4087
2023-03-06,2.347,2.391,2.261,2.334,6453821.2,14980889.5345,84066.0,3092130.6,7180566.2831
2023-03-07,2.333,2.41,2.14,2.252,9547276.6,21576880.8076,115541.0,4658391.8,10532064.5474
2023-03-08,2.251,2.285,1.918,1.983,13492895.4,28148956.5331,147690.0,6512135.1,13590697.9334
2023-03-09,1.983,2.118,1.767,1.82,13954976.6,27388510.3792,142987.0,6754078.7,13269621.5467
2023-03-10,1.82,1.888,1.7,1.86,15897619.6,28780900.4013,168203.0,7789309.1,14118581.005
2023-03-11,1.86,1.946,1.635,1.723,13431356.6,23714050.0056,139114.0,6436460.6,11367285.1184
2023-03-12,1.722,2.234,1.722,2.172,58286707.1,112010000.2957,474130.0,29970732.4,57678380.375
2023-03-13,2.171,2.289,2.014,2.195,29568594.4,63613749.3648,286937.0,14287824.3,30762691.277
2023-03-14,2.195,2.6,2.147,2.388,32142679.5,75236307.5879,306426.0,15849075.9,37105162.6218
2023-03-15,2.388,2.636,2.082,2.155,27907134.5,66122765.9085,271536.0,13534251.3,32077300.0285
2023-03-16,2.155,2.26,2.102,2.236,16746375.0,36515352.11,170313.0,8278980.6,18063312.3003
2023-03-17,2.236,2.463,2.158,2.448,15273996.1,34783556.933,165335.0,7399764.0,16876295.0796
2023-03-18,2.448,2.654,2.37,2.404,22692370.3,56619094.7879,242377.0,10366435.3,25905955.0388
2023-03-19,2.404,2.648,2.325,2.505,18365368.0,45411763.1102,198197.0,8956191.9,22157987.1786
2023-03-20,2.505,2.789,2.34,2.408,29624884.7,75105669.3052,357241.0,13712560.2,34794499.8502
2023-03-21,2.407,2.583,2.203,2.509,28389127.4,68084004.6219,310916.0,13923307.9,33402649.6666
2023-03-22,2.509,2.51,2.124,2.225,21022880.8,48696622.8971,243177.0,9936481.6,23010332.9022
2023-03-23,2.224,2.346,2.178,2.293,12085480.2,27345070.8318,130482.0,5730279.3,12973687.6491
2023-03-24,2.292,2.312,2.056,2.102,9788774.7,21158588.5882,141686.0,4587816.5,9911994.0309
2023-03-25,2.102,2.176,2.034,2.078,6974345.6,14692937.4773,106444.0,3259751.1,6872307.3611
2023-03-26,2.077,2.161,2.055,2.11,5538319.2,11666594.798,78259.0,2563572.2,5403258.1659
2023-03-27,2.111,2.124,1.85,1.967,13192238.6,26391298.8,157728.0,6187246.4,12394520.8703
2023-03-28,1.967,2.044,1.87,2.036,9496543.5,18489899.8181,137311.0,4649021.0,9064499.039
