Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2023-01-23,2.59,3.063,2.361,2.804,73683656.8,203457129.6887,892507.0,33782845.4,93459058.3115
2023-01-24,2.802,3.286,2.409,2.532,96089581.4,280004282.6065,1159550.0,44599658.6,130308158.9587
2023-01-25,2.533,3.39,2.35,3.058,97388908.9,274716208.8349,1046318.0,46211952.1,130660053.3175
2023-01-26,3.055,3.294,2.758,2.901,57544162.4,171786596.2467,707553.0,25900367.8,77461576.2642
2023-01-27,2.9,3.78,2.76,3.57,122541494.0,419323636.6443,1268464.0,60633839.2,207764838.1033
2023-01-28,3.569,3.888,3.311,3.432,60451784.8,213940064.2749,734757.0,28878999.7,102349186.1314
2023-01-29,3.432,3.656,3.19,3.419,36947530.1,126558926.5137,445428.0,17284288.1,59271498.1315
2023-01-30,3.419,3.458,2.557,2.831,61788726.4,187515389.6065,717099.0,27413109.9,83273364.3257
2023-01-31,2.831,3.108,2.72,2.969,52546924.0,152131274.6742,549087.0,25533689.5,74043493.2661
2023-02-01,2.968,3.41,2.686,3.391,67740174.9,204978832.7604,744466.0,31802352.0,96424922.1474
2023-02-02,3.389,3.586,3.042,3.065,66661759.8,224190942.0457,597351.0,31112481.7,104824282.1574
2023-02-03,3.064,3.421,2.89,3.29,63921203.2,203644177.8292,575802.0,30851752.9,98341679.9111
2023-02-04,3.29,3.471,3.132,3.239,42744411.1,141353867.6172,397323.0,20360862.1,67377650.2757
2023-02-05,3.239,3.726,2.72,3.722,70946993.1,227852079.8558,680152.0,33834132.4,109041859.3376
2023-02-06,3.722,4.098,3.484,3.647,136228343.6,518744156.2252,1295513.0,66398086.1,253171876.07
2023-02-07,3.647,4.003,3.502,3.848,65873705.6,247649962.1639,757752.0,32071429.3,120667247.5514
2023-02-08,3.849,4.017,3.097,3.419,68897711.3,243834977.8221,691584.0,32153024.8,113895287.6779
2023-02-09,3.417,3.495,2.591,2.729,110112367.1,332024603.7391,1003105.0,50229728.4,151749453.7356
2023-02-10,2.729,2.782,2.455,2.599,83592475.6,217553122.7064,681027.0,39812630.0,103727480.0302
2023-02-11,2.599,2.67,2.397,2.59,59270137.8,152054518.8882,431745.0,28293266.8,72649096.0175
2023-02-12,2.59,2.738,2.441,2.482,66253940.1,171429847.8559,505212.0,30486884.8,78971789.6588
2023-02-13,2.483,2.503,2.182,2.376,93771263.3,218095550.6836,595067.0,44339976.4,103119749.5289
2023-02-14,2.376,2.643,2.25,2.603,82542366.7,203376278.6811,514531.0,40157348.5,99045882.4873
2023-02-15,2.602,2.989,2.528,2.975,75890327.1,207876171.2027,489604.0,37149503.3,101853578.0851
2023-02-16,2.975,3.123,2.561,2.585,86475144.6,249321978.5965,646419.0,39944651.7,115355880.6403
2023-02-17,2.585,2.888,2.567,2.778,62416342.8,168281562.569,459883.0,30458567.9,82153660.3255
2023-02-18,2.777,2.983,2.691,2.853,50048410.4,142486616.4075,375184.0,23984119.4,68320472.2125
2023-02-19,2.853,2.953,2.593,2.682,59249379.3,166399433.7063,449955.0,27734194.7,77978028.5705
2023-02-20,2.682,2.744,2.434,2.625,40476374.2,107505714.4784,322597.0,18998160.2,50523583.5499
2023-02-21,2.626,2.734,2.435,2.515,43768290.4,112506858.2759,360014.0,20486126.5,52690065.2029
2023-02-22,2.517,2.529,2.305,2.469,40597722.4,97273441.7034,331321.0,19209211.5,46047562.2344
2023-02-23,2.47,2.666,2.434,2.566,68865049.6,177144996.4494,524021.0,33225635.5,85531595.8954
2023-02-24,2.566,2.621,2.247,2.354,46643388.7,112650480.0762,344105.0,21593562.2,52179824.8069
2023-02-25,2.353,2.391,2.204,2.339,36659865.6,84548348.1325,280023.0,17583188.6,40587830.8046
2023-02-26,2.339,2.434,2.316,2.409,26632595.0,63445830.4216,201986.0,12773187.6,30442736.4335
2023-02-27,2.409,2.493,2.309,2.375,34034641.6,81970125.5919,254826.0,16373108.2,39443322.5062
2023-02-28,2.376,2.426,2.25,2.291,25897705.0,60667844.1044,207054.0,12294297.5,28807802.1654
2023-03-01,2.292,2.549,2.261,2.481,39738951.9,96884290.6777,328759.0,19380483.0,47268685.4798
2023-03-02,2.481,2.512,2.309,2.394,23183745.2,55124718.7297,189745.0,10902777.7,25929196.1614
2023-03-03,2.393,2.404,1.852,2.053,56085263.5,114924911.2412,373562.0,25488601.4,52108096.9697
2023-03-04,2.052,2.072,1.8,1.9,34423122.5,66680438.0142,201546.0,16361212.0,31696383.1076
2023-03-05,1.9,1.984,1.883,1.928,24721073.4,48117757.1634,159949.0,12046139.0,23457248.6176
2023-03-06,1.928,1.966,1.873,1.933,21012313.0,40231476.1708,157676.0,10054708.9,19258414.3972
2023-03-07,1.934,2.009,1.83,1.92,33154549.9,63892897.7821,258841.0,16211666.8,31262045.8803
2023-03-08,1.92,1.939,1.676,1.73,39255775.8,69667627.9122,252208.0,18616083.9,33043776.522
2023-03-09,1.73,1.822,1.56,1.684,39270495.5,67357239.4175,257975.0,18944201.4,32543686.8746
2023-03-10,1.684,1.715,1.552,1.644,55334619.7,90342357.7665,323204.0,27024775.4,44144992.579
2023-03-11,1.645,1.702,1.475,1.561,37816259.2,59273243.0053,233041.0,18267337.5,28647082.6887
2023-03-12,1.56,1.802,1.509,1.784,34123839.8,55629026.6585,222316.0,16939463.3,27637411.3928
2023-03-13,1.784,1.931,1.712,1.878,45574741.5,82917118.6101,304083.0,22278704.5,40552305.3948
2023-03-14,1.878,2.269,1.856,2.132,99968731.5,208917943.1114,691967.0,48914027.8,102225118.1861
2023-03-15,2.131,2.203,1.814,1.887,55090832.5,110293051.7053,395501.0,26263846.8,52593210.4815
2023-03-16,1.887,2.129,1.832,2.046,63735338.3,126697409.5668,452776.0,31625901.6,62922676.9001
2023-03-17,2.045,2.179,1.965,2.176,50856875.0,105076710.5449,356133.0,24423166.4,50478176.0607
2023-03-18,2.176,2.39,2.102,2.193,59752852.9,135706164.1716,482900.0,28663721.0,65126432.5463
2023-03-19,2.192,2.414,2.184,2.239,49128503.3,112139429.7644,377728.0,24099748.5,55038802.7612
2023-03-20,2.239,2.283,1.975,2.001,46985444.2,99523559.2905,379888.0,22591751.2,47886763.2635
2023-03-21,2.001,2.144,1.901,2.121,40436014.7,82165765.4841,327678.0,19654358.5,39963410.9883
2023-03-22,2.121,2.138,1.836,1.955,43250041.4,87446211.5821,357651.0,20746325.9,41960988.7285
2023-03-23,1.954,2.047,1.901,2.009,28808964.5,56733013.8583,236007.0,14004976.1,27597276.6622
2023-03-24,2.01,2.031,1.836,1.871,24351616.8,46750644.3475,242349.0,11744227.9,22554916.794
2023-03-25,1.872,1.899,1.801,1.837,16615172.5,30693805.6214,162135.0,8192691.6,15138216.3639
2023-03-26,1.837,1.92,1.814,1.895,16442358.2,30836697.3576,138483.0,8007164.5,15017809.3226
2023-03-27,1.894,1.897,1.676,1.74,24945210.2,44276664.9962,196689.0,11829309.2,21007914.4236
2023-03-28,1.741,1.97,1.691,1.965,32262632.0,58074794.638,269752.0,16635433.6,30010613.9075
2023-03-29,1.964,2.199,1.873,1.894,67699188.9,132530760.0539,407473.0,32609360.4,63879432.7845
2023-03-30,1.895,1.934,1.766,1.812,37755198.3,69274925.7869,280363.0,18012955.0,33062866.1611
2023-03-31,1.812,1.842,1.753,1.812,20242934.0,36481796.4744,171692.0,9613336.8,17333764.8906
2023-04-01,1.811,1.866,1.803,1.839,16589115.4,30402102.0357,143582.0,8089567.5,14829671.4943
2023-04-02,1.84,1.853,1.743,1.775,13268984.7,23747033.3838,110890.0,6000206.9,10740679.9035
2023-04-03,1.775,1.776,1.66,1.739,21395689.8,36997902.9881,170160.0,10109391.6,17490874.1095
2023-04-04,1.74,1.775,1.71,1.761,13473777.6,23467583.9142,117201.0,6502490.7,11326511.2159
2023-04-05,1.762,1.852,1.742,1.818,22145355.4,40034899.1448,185823.0,10453133.5,18906042.6457
2023-04-06,1.819,1.831,1.722,1.746,16440867.1,28960153.9673,138822.0,7710391.8,13584338.4223
2023-04-07,1.747,1.759,1.705,1.727,10952584.4,18940800.2261,99539.0,5196284.5,8990281.5002
2023-04-08,1.727,1.749,1.674,1.69,10159314.0,17412924.452,93803.0,4687521.8,8038688.4327
2023-04-09,1.691,1.769,1.669,1.761,12707696.3,21772100.8115,117473.0,6090813.6,10438663.3168
2023-04-10,1.76,1.843,1.71,1.833,22092972.1,39184855.3338,182252.0,10779659.0,19136475.5271
2023-04-11,1.833,1.851,1.782,1.796,19406271.9,35261411.5486,144880.0,8934991.4,16248905.2145
2023-04-12,1.795,1.8,1.691,1.744,20741314.6,35971309.886,172540.0,9646727.9,16734379.3227
2023-04-13,1.745,1.959,1.727,1.93,41775010.9,77951352.2082,275223.0,20699196.7,38640464.7485
2023-04-14,1.929,2.236,1.913,2.173,84840530.4,174341658.1618,521479.0,41797390.9,85903317.4978
2023-04-15,2.173,2.175,2.031,2.065,31670459.1,66496033.6379,232542.0,14828321.0,31147257.1372
2023-04-16,2.065,2.41,2.024,2.385,98424260.1,226571311.7255,639095.0,48477053.9,111655666.5151
2023-04-17,2.385,2.519,2.23,2.288,91569597.8,216036466.4235,568648.0,43980602.2,103904102.4412
2023-04-18,2.288,2.364,2.176,2.244,41539268.3,94464691.9848,275013.0,19546023.5,44471589.7247
2023-04-19,2.245,2.274,1.91,1.982,47979888.5,99304547.4034,307232.0,21428848.3,44389760.4136
2023-04-20,1.982,2.003,1.836,1.879,34804754.4,66986735.9449,230147.0,16432237.9,31644574.5631
2023-04-21,1.88,2.029,1.815,1.867,86397020.3,167306045.2538,514559.0,42206489.6,81798687.5797
2023-04-22,1.867,1.995,1.799,1.964,48708051.5,93788529.4644,273623.0,24109900.4,46447365.9448
2023-04-23,1.965,1.977,1.818,1.876,28120428.2,53194600.4071,178431.0,13453355.6,25455445.4474
2023-04-24,1.877,1.948,1.826,1.896,25310463.3,47718130.1131,182142.0,12293297.8,23186834.0744
2023-04-25,1.897,1.939,1.804,1.931,24543772.0,45623410.9958,184474.0,11845074.4,22027607.6092
2023-04-26,1.931,2.073,1.805,1.971,42924889.3,84051187.8065,296071.0,20806944.0,40775896.2167
2023-04-27,1.972,2.095,1.923,2.029,43948905.5,88369898.0881,304547.0,21713177.5,43674999.963
2023-04-28,2.029,2.106,1.956,1.995,42594180.7,86143027.2485,288298.0,20579203.9,41654296.8378
