Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2023-03-23,0.4286,0.5299,0.4286,0.5286,362482400.0,181962431.5211,845358.0,181286302.0,91106458.7737
2023-03-24,0.5287,0.5969,0.4866,0.5281,1203027508.0,656515713.0438,2931255.0,589857998.0,322191451.0133
2023-03-25,0.5284,0.531,0.456,0.4741,474024941.0,228801101.0045,1100299.0,224372095.0,108349485.9214
2023-03-26,0.4741,0.5248,0.435,0.4875,561701192.0,269342391.831,1020785.0,272110735.0,130506275.014
2023-03-27,0.4874,0.5147,0.4271,0.453,417157910.0,197691884.7719,787094.0,200292517.0,95059427.9547
2023-03-28,0.4531,0.469,0.4303,0.4641,227541694.0,102004565.4098,460368.0,109811290.0,49269015.4875
2023-03-29,0.4641,0.4907,0.4493,0.4657,241877564.0,113904430.4276,434812.0,114155972.0,53789310.4879
2023-03-30,0.4656,0.5089,0.4433,0.4812,435916932.0,206593923.5437,740145.0,205628606.0,97532129.5792
2023-03-31,0.4813,0.494,0.4583,0.4798,285685715.0,136312943.2456,524397.0,135083074.0,64492165.2158
2023-04-01,0.4798,0.5225,0.4708,0.4866,364979176.0,180854841.4939,624839.0,176526538.0,87532533.7743
2023-04-02,0.4867,0.4997,0.45,0.4663,241934530.0,115294219.1569,422185.0,113859393.0,54291446.5438
2023-04-03,0.4663,0.4754,0.4311,0.4447,204231956.0,93195293.7248,367247.0,93396692.0,42661312.2036
2023-04-04,0.4446,0.4671,0.439,0.4607,143040072.0,65245446.1934,267427.0,66603349.0,30380084.4776
2023-04-05,0.4606,0.485,0.454,0.4623,149297606.0,70017398.034,295628.0,68647579.0,32233393.4177
2023-04-06,0.4622,0.4628,0.4438,0.4511,87367775.0,39479088.3192,190058.0,40401723.0,18267127.1331
2023-04-07,0.4511,0.4635,0.4451,0.4524,77764340.0,35171863.5945,168783.0,36172374.0,16369916.1483
2023-04-08,0.4523,0.4615,0.433,0.4381,86407012.0,38766516.2632,169153.0,38268204.0,17200915.4021
2023-04-09,0.4381,0.45,0.43,0.4452,94955856.0,41638256.5375,188183.0,45623488.0,20017502.7427
2023-04-10,0.4452,0.4717,0.4434,0.4697,168178695.0,76654670.4053,310643.0,82719096.0,37724719.1816
2023-04-11,0.4697,0.4826,0.4527,0.4566,128727999.0,60266633.3252,249393.0,59902576.0,28066658.0925
2023-04-12,0.4565,0.4595,0.438,0.4533,111139844.0,49894187.3279,216886.0,50877397.0,22853122.7798
2023-04-13,0.4534,0.5818,0.4522,0.5737,1130363174.0,604576383.6124,1546027.0,587398596.0,314331053.0741
2023-04-14,0.5737,0.8448,0.5714,0.802,2988831418.0,2163790693.2416,5652365.0,1523498190.0,1103133339.4971
2023-04-15,0.802,0.8643,0.7575,0.8299,1498530172.0,1213127670.4249,3198393.0,748467968.0,606319163.2473
2023-04-16,0.8298,0.994,0.8001,0.9302,1539579538.0,1395132232.2977,3362216.0,771738452.0,699535436.9122
2023-04-17,0.93,1.0578,0.8255,0.935,1354566753.0,1244488061.5819,3212022.0,669942820.0,616252874.737
2023-04-18,0.9351,1.0081,0.877,0.9036,1169562135.0,1086241163.6961,2704344.0,569608082.0,529601141.3058
2023-04-19,0.9035,0.9358,0.7447,0.7803,912876811.0,762333711.2574,2134487.0,430552736.0,359944284.085
2023-04-20,0.7802,0.8167,0.7095,0.736,692796566.0,536062084.8018,1576784.0,337225422.0,261099525.7129
2023-04-21,0.7361,0.7987,0.7024,0.7416,790964551.0,594627425.9382,1633991.0,389619040.0,293140776.3855
2023-04-22,0.7416,0.7575,0.7077,0.7514,408623010.0,298408329.6564,881409.0,205370105.0,150031506.4694
2023-04-23,0.7514,0.7514,0.661,0.6776,435444936.0,303145142.4759,818035.0,204742957.0,142477842.7326
2023-04-24,0.6776,0.715,0.6523,0.6987,555123506.0,380009203.8312,1041212.0,275764476.0,188926540.7249
2023-04-25,0.6988,0.7059,0.6333,0.6855,511664370.0,340193133.9667,959131.0,251887796.0,167455923.4831
2023-04-26,0.6855,0.7733,0.6432,0.6799,763446804.0,544850251.0571,1435654.0,370850092.0,264646765.5398
2023-04-27,0.68,0.777,0.676,0.7437,745669826.0,551332642.6189,1521630.0,369901769.0,273524764.934
2023-04-28,0.7438,0.7457,0.6713,0.6835,433469115.0,306774351.194,825953.0,206882342.0,146443779.4234
2023-04-29,0.6834,0.6878,0.6549,0.663,302136721.0,202838959.6198,534895.0,144049887.0,96741110.9248
2023-04-30,0.6629,0.6782,0.63,0.6358,326715724.0,213621923.3838,584983.0,154710852.0,101183020.0948
2023-05-01,0.6358,0.6404,0.5995,0.6223,360178048.0,221550237.9358,628353.0,173902157.0,106984616.0766
2023-05-02,0.6224,0.6365,0.609,0.6156,270968736.0,168520651.9957,545973.0,132147912.0,82202348.104
2023-05-03,0.6157,0.6216,0.5613,0.615,408287983.0,239039561.7624,698191.0,195688641.0,114527529.2472
2023-05-04,0.6149,0.6195,0.5729,0.5809,255231336.0,153168972.1002,471396.0,119243497.0,71562846.1358
2023-05-05,0.5809,0.5905,0.5306,0.5593,349498074.0,199078296.6871,574511.0,166956679.0,95194065.1778
2023-05-06,0.5594,0.5708,0.5032,0.5336,322425283.0,173273412.812,507248.0,152787644.0,82129675.7717
2023-05-07,0.5336,0.5587,0.5265,0.5346,266630146.0,144900381.1768,430794.0,126940111.0,69007645.5579
2023-05-08,0.5347,0.5427,0.455,0.4765,406458863.0,203128299.6751,637782.0,194442369.0,97236677.6864
2023-05-09,0.4765,0.4934,0.4659,0.4777,227531225.0,109095639.8419,371416.0,111061265.0,53254545.1288
2023-05-10,0.4778,0.5123,0.4588,0.499,370259960.0,181464509.1643,576833.0,180986949.0,88717796.7682
