Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2022-02-11,2.5306,2.7114,2.2219,2.3029,6416440.0,16134973.9765,96563.0,2981532.0,7510591.5372
2022-02-12,2.3046,2.3801,2.2011,2.3001,4201554.0,9598574.3519,54207.0,2003137.0,4582656.4309
2022-02-13,2.2997,2.46,2.2453,2.2906,13260634.0,31606147.6289,127585.0,6480302.0,15458938.1476
2022-02-14,2.2905,2.3489,2.1664,2.2917,6084301.0,13715998.3928,58948.0,2881518.0,6498769.2363
2022-02-15,2.2868,2.4903,2.2751,2.4799,4815292.0,11633323.1686,48540.0,2436858.0,5891629.9145
2022-02-16,2.4784,2.5196,2.3256,2.3947,6005065.0,14546990.791,53981.0,2921476.0,7095398.0315
2022-02-17,2.3947,2.4187,2.1017,2.1252,4916121.0,11133131.4643,52775.0,2145377.0,4864081.9887
2022-02-18,2.125,2.1998,2.0271,2.0471,4912399.0,10387268.9917,44544.0,2420207.0,5120625.5609
2022-02-19,2.0474,2.1008,1.8905,1.9747,5762045.0,11397672.2166,44932.0,2688982.0,5318012.1041
2022-02-20,1.9747,1.9765,1.7709,1.8126,7528244.0,13891597.0027,56317.0,3745363.0,6911779.6466
2022-02-21,1.8108,1.96,1.55,1.5673,15622222.0,27823494.7673,105783.0,7438472.0,13295281.5435
2022-02-22,1.5673,1.6909,1.5598,1.6499,21248922.0,34437859.6095,110469.0,10801338.0,17507513.7802
2022-02-23,1.6493,1.7225,1.5376,1.5536,11835852.0,19402021.1027,64400.0,5727061.0,9390286.3908
2022-02-24,1.5529,1.5599,1.314,1.5023,26796497.0,37905528.7581,136799.0,12641189.0,17860503.7201
2022-02-25,1.5023,1.5817,1.4477,1.5339,18474471.0,27803304.0403,84549.0,9409873.0,14163654.3983
2022-02-26,1.5337,1.6222,1.4852,1.4988,11766214.0,18211008.978,55167.0,5744580.0,8894029.0659
2022-02-27,1.4983,1.5908,1.3687,1.4079,22011338.0,32581710.2228,94714.0,11037662.0,16353724.5875
2022-02-28,1.4084,1.562,1.3814,1.5586,18330978.0,26618461.5341,88357.0,9243388.0,13438053.5739
2022-03-01,1.5575,1.6458,1.5,1.5827,20354971.0,31798080.9675,88970.0,9904493.0,15486453.1056
2022-03-02,1.5832,1.5851,1.4507,1.463,13187921.0,20045089.9333,64315.0,6078670.0,9249469.8331
2022-03-03,1.4637,1.4951,1.4,1.4565,9130275.0,13206437.7661,45124.0,4284370.0,6198941.1149
2022-03-04,1.4566,1.4861,1.2751,1.3212,16038215.0,21639597.8116,67125.0,7440355.0,10042911.4371
2022-03-05,1.3211,1.3302,1.249,1.2809,11538494.0,14834218.5707,46811.0,5388127.0,6929288.9021
2022-03-06,1.281,1.2835,1.1471,1.149,16924098.0,20415551.698,61774.0,7620330.0,9192258.1149
2022-03-07,1.149,1.63,1.0999,1.5825,375572921.0,562485799.5905,1268721.0,194439131.0,291464387.5545
2022-03-08,1.5822,1.8345,1.46,1.5193,394236799.0,639271704.5663,1538476.0,197765457.0,321042227.2424
2022-03-09,1.5185,1.7618,1.425,1.6029,177905913.0,282546644.7432,781928.0,87532368.0,139159527.1947
2022-03-10,1.6017,1.6974,1.4502,1.5102,101750492.0,158235332.4764,478980.0,48774916.0,75899819.4345
2022-03-11,1.5102,1.86,1.4856,1.7013,285657404.0,493691665.747,1308407.0,143744023.0,248610941.0497
2022-03-12,1.7013,1.9626,1.676,1.8625,313410491.0,587033485.3154,1621231.0,161344489.0,302370148.9406
2022-03-13,1.8627,1.982,1.6543,1.6897,179086211.0,332341947.0517,987585.0,88308354.0,164192551.7889
2022-03-14,1.6892,1.7458,1.5583,1.6503,98559665.0,163471324.9782,469665.0,47057559.0,78090355.4451
2022-03-15,1.6489,1.66,1.4966,1.5111,70376310.0,109434261.9588,325419.0,33228204.0,51686842.6725
