Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2022-08-17,2.025,2.199,1.862,1.915,24360907.9,50079123.8166,228440.0,10764166.8,22163878.2843
2022-08-18,1.911,1.963,1.738,1.78,7657218.3,14426156.4452,72671.0,3471897.6,6556734.7164
2022-08-19,1.778,1.78,1.552,1.673,11067216.2,18296903.2475,100025.0,5113636.2,8462599.2172
2022-08-20,1.671,1.746,1.54,1.603,9727682.7,16168380.9678,84173.0,4505940.3,7496735.0086
2022-08-21,1.602,1.865,1.592,1.841,25580864.1,45501795.5467,212715.0,12965503.2,23078455.5994
2022-08-22,1.84,1.844,1.643,1.76,25247608.0,44033270.1563,223462.0,12307527.8,21480742.1483
2022-08-23,1.761,1.886,1.745,1.816,11592241.1,20999623.9109,101310.0,5470070.1,9917728.3887
2022-08-24,1.816,1.88,1.749,1.76,6345103.3,11460321.8993,60102.0,2978727.2,5383881.1403
2022-08-25,1.76,1.851,1.759,1.772,3846292.7,6921218.8185,37645.0,1764368.2,3178353.8485
2022-08-26,1.771,1.825,1.572,1.59,4077037.4,6953823.4458,37901.0,1820272.2,3105606.955
2022-08-27,1.59,1.625,1.546,1.566,2357727.2,3739562.0671,25109.0,1099307.0,1746164.5686
2022-08-28,1.566,1.62,1.482,1.5,2126390.9,3341857.2891,22375.0,934448.0,1471084.3862
2022-08-29,1.5,1.614,1.474,1.613,3828163.6,5892158.8754,37267.0,1923794.7,2962399.3873
2022-08-30,1.612,1.638,1.492,1.52,11663984.0,18146442.1707,96879.0,5617739.1,8745274.8333
2022-08-31,1.52,1.598,1.52,1.555,2281185.1,3572473.6018,26068.0,1063222.5,1665497.7971
2022-09-01,1.554,1.575,1.46,1.524,2167506.5,3275509.5419,21982.0,963239.1,1456700.1204
2022-09-02,1.524,1.58,1.491,1.534,2782011.7,4278527.9516,26669.0,1234161.9,1898281.6295
2022-09-03,1.534,1.558,1.511,1.526,1280599.1,1958056.135,18539.0,610863.5,934168.3981
2022-09-04,1.526,1.625,1.515,1.599,6328393.2,10042234.0611,46627.0,3160387.0,5021711.7938
2022-09-05,1.599,1.627,1.524,1.606,10769275.7,17088945.9768,79330.0,5088400.2,8086234.4408
2022-09-06,1.604,1.652,1.44,1.452,9155171.8,14347761.9693,70280.0,4178295.9,6554192.638
2022-09-07,1.452,1.58,1.425,1.552,7062072.3,10681946.2171,55755.0,3292952.9,4982258.0479
2022-09-08,1.552,1.602,1.485,1.531,6667005.0,10193061.5593,49592.0,3113917.8,4761630.3684
2022-09-09,1.531,1.735,1.524,1.681,9100451.1,14755910.752,64771.0,4391207.8,7128174.8688
2022-09-10,1.681,1.737,1.602,1.635,6758413.4,11205032.1852,50409.0,3188613.7,5290388.6448
2022-09-11,1.633,2.022,1.614,1.874,63546889.4,118125545.9789,439102.0,32607235.4,60650435.0067
2022-09-12,1.872,1.937,1.755,1.808,43994464.7,80571563.469,250732.0,22063160.3,40432545.2737
2022-09-13,1.808,2.058,1.637,1.65,48895967.8,92804451.1505,347958.0,24439730.0,46554854.2278
2022-09-14,1.65,1.751,1.605,1.649,11378335.5,19125183.6604,92143.0,5400775.2,9090583.4469
2022-09-15,1.648,1.664,1.543,1.627,10167693.5,16345334.7858,74755.0,4988130.4,8026989.5075
2022-09-16,1.627,1.684,1.581,1.675,9356554.8,15282580.2664,68327.0,4481721.9,7329246.5387
2022-09-17,1.675,1.715,1.639,1.694,5615704.7,9374048.7311,43818.0,2538086.2,4238704.3246
2022-09-18,1.694,1.694,1.413,1.448,8030579.1,12681314.7371,59204.0,3454722.7,5454804.8879
2022-09-19,1.446,1.627,1.417,1.572,17101206.1,26415415.7656,99879.0,8373391.1,12928775.5802
2022-09-20,1.57,1.632,1.504,1.527,25986125.4,41000596.356,134719.0,12740669.3,20113845.2524
2022-09-21,1.526,1.595,1.439,1.461,13593151.9,20672206.0923,75819.0,6813211.5,10369614.7829
2022-09-22,1.46,1.548,1.457,1.529,5105658.6,7720258.1199,39034.0,2525776.5,3821221.4407
2022-09-23,1.528,1.656,1.461,1.575,7524628.0,11626781.8406,53210.0,3513021.7,5442079.1777
2022-09-24,1.576,1.683,1.536,1.644,30523802.8,49804725.2118,180785.0,15400264.4,25155980.2742
2022-09-25,1.644,1.935,1.605,1.799,79313060.7,142112827.4534,386561.0,41375785.3,74194650.2118
