Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2021-08-27,13.4,14.9798,12.9218,14.0,6097107.0,86306022.3647,338336.0,2732973.0,38747485.5647
2021-08-28,14.0,16.7233,13.8,14.6784,7890791.0,121697100.778,417579.0,3615264.0,55871446.6973
2021-08-29,14.6783,15.5,13.65,13.9638,4250480.0,61659032.3413,224217.0,1784427.0,25940217.1655
2021-08-30,13.968,14.0128,11.8284,11.9523,3713647.0,48609265.3269,183146.0,1512086.0,19836185.1637
2021-08-31,11.9587,12.95,10.8568,11.2629,4003094.0,47670386.1716,184470.0,1688934.0,20149753.4729
2021-09-01,11.2636,12.59,10.9287,11.9812,4694179.0,55492437.7446,209209.0,2141675.0,25341070.0601
2021-09-02,11.9833,13.5879,11.83,12.3783,6590134.0,84451857.9829,244180.0,2933727.0,37609510.2074
2021-09-03,12.3865,12.9348,11.4104,11.9654,5414360.0,65336472.7102,190765.0,2320810.0,28038430.4966
2021-09-04,11.9704,12.9449,11.8281,11.981,4687698.0,57820627.2735,180099.0,2013515.0,24860799.625
2021-09-05,11.9839,12.8677,11.812,12.325,4106007.0,50625472.7018,158648.0,1744814.0,21536900.2642
2021-09-06,12.325,12.8428,10.6675,11.9964,4954603.0,60254928.0027,195558.0,2089492.0,25422929.1372
2021-09-07,12.0071,12.8,7.1244,9.0489,8770996.0,89450300.3483,305944.0,3722223.0,37874199.5902
2021-09-08,9.0349,9.8371,7.9378,9.0199,5521599.0,49253700.6727,214684.0,2608188.0,23282729.2943
2021-09-09,9.019,9.761,8.503,9.1545,3093971.0,28389126.5516,124776.0,1433617.0,13165953.6667
2021-09-10,9.1591,9.4927,8.2233,8.5735,2881839.0,25404845.4552,109179.0,1296213.0,11425463.4484
2021-09-11,8.585,9.0756,8.2333,8.5377,2296555.0,19770798.1608,86563.0,1069920.0,9214566.842
2021-09-12,8.5361,13.9791,8.31,12.9822,33333561.0,399432923.8897,957823.0,16971288.0,203626433.6975
2021-09-13,12.9821,13.2226,9.7221,11.3888,29904293.0,336889552.5213,896703.0,14697094.0,165682038.0973
2021-09-14,11.3845,11.5984,10.2133,10.5903,7372423.0,80344972.5281,261868.0,3524285.0,38455782.1412
2021-09-15,10.5858,11.38,10.2591,10.9634,5901325.0,63050337.7328,222992.0,2706033.0,28898614.0196
2021-09-16,10.9646,13.25,10.55,12.3254,16857269.0,206334121.0641,543307.0,8075984.0,98960643.0235
2021-09-17,12.3248,12.6591,10.9022,11.1865,5399691.0,62876709.4543,205317.0,2453209.0,28574376.124
2021-09-18,11.1845,11.7011,10.7001,10.9592,3251154.0,36468170.9442,142873.0,1473441.0,16538643.8915
2021-09-19,10.9629,12.5204,10.6078,11.1902,9052489.0,106585319.6792,339570.0,4274523.0,50356763.8363
2021-09-20,11.1944,11.2161,8.9815,9.3713,7538274.0,74577529.5275,265477.0,3544303.0,35050678.8287
2021-09-21,9.3686,9.5631,8.0,8.4356,5676295.0,50627057.1034,202723.0,2684358.0,23942684.1867
2021-09-22,8.4364,9.5998,8.1977,9.3548,4579980.0,40808619.6882,174993.0,2226570.0,19843965.0018
2021-09-23,9.3514,9.8579,8.88,9.7886,3541098.0,33168473.1954,140558.0,1648501.0,15462929.7872
2021-09-24,9.791,11.1226,8.558,9.2948,15965570.0,156117305.4126,468063.0,7587135.0,74193075.1546
2021-09-25,9.2983,9.5048,8.6616,8.8643,4590974.0,41703416.6675,152867.0,2162074.0,19655956.7823
2021-09-26,8.8645,8.8753,7.3756,8.0813,6745274.0,54673465.9049,197314.0,3198441.0,25912279.667
2021-09-27,8.0801,9.4183,7.9151,8.1178,7737298.0,67361108.5486,222168.0,3618137.0,31530467.5899
2021-09-28,8.1202,8.6778,8.0232,8.1602,5395272.0,44942512.3082,165545.0,2611939.0,21763123.7871
2021-09-29,8.1602,8.9265,8.052,8.5285,4958313.0,41977639.431,158959.0,2316076.0,19610006.9063
2021-09-30,8.5335,9.3,8.3516,8.9801,6750704.0,59961592.1534,200751.0,3294486.0,29305193.1715
2021-10-01,8.9764,9.7626,8.812,9.5433,8880160.0,83435317.6973,248051.0,4062536.0,38190415.3398
2021-10-02,9.5444,10.954,9.3247,10.2475,9115779.0,92732013.3638,280762.0,4155405.0,42292112.2816
2021-10-03,10.2459,10.5074,9.8552,10.1549,5019776.0,51056863.9427,168943.0,2230362.0,22706260.7807
2021-10-04,10.1504,10.151,9.3509,9.7162,4024355.0,39066400.6762,145274.0,1782004.0,17303207.686
2021-10-05,9.7326,11.84,9.6428,11.2174,17351664.0,190755259.5068,502817.0,8238645.0,90692465.198
2021-10-06,11.2194,11.8499,10.2622,10.724,8969279.0,98494455.1143,291249.0,4042436.0,44450618.1122
2021-10-07,10.7251,12.2284,10.2803,11.6289,8805722.0,98042663.1544,297274.0,4210973.0,46973044.9282
2021-10-08,11.6334,11.6343,10.6242,10.8124,4601787.0,50741521.7366,172468.0,2011575.0,22188196.9032
2021-10-09,10.8149,10.9046,10.328,10.5637,3850733.0,40900495.3518,152995.0,1721516.0,18284211.9565
2021-10-10,10.5602,10.98,9.7,9.7888,4812085.0,49962394.2099,178588.0,2167901.0,22549457.7394
2021-10-11,9.7888,10.2425,9.4174,9.7523,3195098.0,31582581.2216,117317.0,1480603.0,14643408.8567
2021-10-12,9.7464,9.7464,8.7408,9.3234,4144617.0,37888773.0719,141874.0,1965296.0,17967628.5991
2021-10-13,9.3246,9.5999,8.872,9.2864,3348656.0,30881365.9385,116954.0,1580949.0,14585904.6486
2021-10-14,9.2881,9.849,9.2593,9.4309,3435654.0,32732334.1526,124075.0,1606956.0,15315084.9298
2021-10-15,9.4312,10.6941,9.0343,10.0858,10166426.0,100644031.8332,297484.0,4869746.0,48250087.9138
2021-10-16,10.0778,11.2952,9.9,10.1977,8733793.0,91286826.4287,283717.0,4083403.0,42702496.8552
2021-10-17,10.1984,11.412,9.9634,10.6777,8589773.0,90928891.8612,287527.0,4072312.0,43154707.8019
2021-10-18,10.6788,10.8664,9.8257,10.0719,4161477.0,42528149.7916,144518.0,1883377.0,19250806.2082
2021-10-19,10.0658,10.3139,9.7347,9.9391,3259852.0,32649022.4945,121187.0,1491450.0,14939893.5481
2021-10-20,9.94,10.5152,9.7521,10.1652,3191789.0,32151462.4494,117859.0,1435705.0,14460431.7167
2021-10-21,10.1677,10.8616,9.8883,9.9579,7075847.0,73757415.7505,217600.0,3199418.0,33372239.9804
2021-10-22,9.9555,10.4155,9.616,9.91,3735314.0,37477668.5374,128922.0,1655969.0,16628688.4903
2021-10-23,9.9119,10.01,9.65,9.8892,1745109.0,17211710.4137,76322.0,770969.0,7606912.1157
2021-10-24,9.8883,9.912,9.13,9.3291,2532899.0,24027360.1703,102084.0,1075172.0,10197597.6564
2021-10-25,9.3276,9.7816,9.2666,9.7651,2448534.0,23375176.9656,92669.0,1165338.0,11128359.5335
2021-10-26,9.7652,9.907,9.3324,9.5003,3329056.0,32263227.5898,120827.0,1465179.0,14208268.0924
2021-10-27,9.5011,18.5033,9.4251,10.6003,46349519.0,617654018.2945,1441615.0,22643738.0,302249185.0848
2021-10-28,10.6024,12.6055,10.5639,11.4533,17622217.0,202001815.3617,536250.0,8436772.0,96727923.598
2021-10-29,11.4533,12.0929,11.176,11.2244,5457410.0,63137682.8939,240251.0,2716475.0,31426609.2146
2021-10-30,11.2295,11.3629,10.1973,10.5541,5196844.0,56073803.0471,213790.0,2380690.0,25704727.3529
2021-10-31,10.5541,11.5574,9.9,10.7581,7369448.0,78051185.3065,274570.0,3475787.0,36813834.8214
2021-11-01,10.7544,12.6562,10.5149,11.4193,9717476.0,111523283.3359,377683.0,4499547.0,51701057.5285
2021-11-02,11.4252,13.0499,11.0429,12.5686,6356300.0,76845646.3311,274316.0,2961431.0,35820303.0941
2021-11-03,12.5756,14.4413,12.0903,13.2439,13278443.0,172708827.5679,561101.0,6158963.0,80178734.3079
2021-11-04,13.2443,13.2644,11.6461,12.0946,3757474.0,46515743.7774,188294.0,1736657.0,21494551.5994
2021-11-05,12.0968,12.5571,11.5136,11.7911,3014494.0,36200635.3289,157758.0,1374017.0,16514392.3763
2021-11-06,11.7871,12.3644,10.8516,11.3703,3631711.0,42162064.2382,187642.0,1657507.0,19264078.8927
2021-11-07,11.3767,11.9989,11.2982,11.92,2891533.0,33735809.9803,152196.0,1293270.0,15087636.0603
2021-11-08,11.92,12.8,11.6145,12.1593,4224106.0,51399313.4974,212592.0,1899904.0,23134945.0986
2021-11-09,12.1631,12.9,11.7938,12.5329,4798269.0,58979264.1103,227006.0,2208782.0,27173413.8275
2021-11-10,12.5294,16.6755,12.2882,15.8102,23864840.0,349144108.2496,1070528.0,11253746.0,164909173.019
2021-11-11,15.8203,19.8,14.7015,15.6442,32073518.0,551837152.9283,1301970.0,15153038.0,261096253.2226
2021-11-12,15.6356,16.6423,14.1908,14.728,9793085.0,149043328.5568,426209.0,4604637.0,70054630.0563
2021-11-13,14.728,15.1351,13.65,13.8501,6220618.0,88420397.312,306258.0,2846682.0,40493466.9576
2021-11-14,13.8501,15.4735,13.7084,14.6046,7897945.0,115150036.9094,397989.0,3601995.0,52554421.762
2021-11-15,14.6069,14.66,13.1428,13.3148,5378820.0,74528919.0289,244471.0,2433450.0,33721737.2211
2021-11-16,13.3113,13.3132,10.75,11.7696,8620807.0,104074930.5543,355397.0,3947470.0,47682463.27
2021-11-17,11.765,12.1614,11.1111,12.0221,5438537.0,63373400.0131,264046.0,2548511.0,29717002.3395
2021-11-18,12.0278,12.399,9.8969,10.386,7789928.0,85787791.5262,304213.0,3558268.0,39170327.1753
2021-11-19,10.387,11.5966,10.0861,11.1633,4998493.0,54168228.3599,227803.0,2408000.0,26063222.225
2021-11-20,11.1664,11.9869,11.14,11.7358,4689777.0,54606692.1112,201603.0,2180147.0,25377977.6895
2021-11-21,11.7314,13.2132,11.2678,12.2235,9368270.0,116094811.3709,363673.0,4401331.0,54524009.6673
2021-11-22,12.2235,13.3713,11.7524,12.2957,7748843.0,95969428.6511,344493.0,3556558.0,44039161.626
2021-11-23,12.2998,13.0099,11.5394,12.6786,5617895.0,68927423.8987,262319.0,2626631.0,32258052.823
2021-11-24,12.6792,13.484,12.1717,13.1434,7363222.0,94958514.6542,351667.0,3496158.0,45104780.8872
2021-11-25,13.1402,14.4665,12.7795,14.0375,7580453.0,103457504.4701,344491.0,3559031.0,48612808.1306
2021-11-26,14.0375,19.7,13.7769,19.2534,33049528.0,535918037.7588,1478539.0,16031909.0,260388049.5536
2021-11-27,19.25,22.5739,17.1835,17.9803,33028089.0,649579636.004,1528321.0,15718924.0,309622595.0144
2021-11-28,17.9775,18.4998,14.6231,16.058,16028333.0,260615946.7334,688096.0,7470340.0,121608948.1693
2021-11-29,16.0685,18.57,15.4538,18.1591,18405093.0,314618967.212,837418.0,8717070.0,149107543.3762
2021-11-30,18.1634,18.5449,15.5,15.9252,9716264.0,160604650.9155,437638.0,4464576.0,73794491.742
2021-12-01,15.9236,17.2713,15.3009,15.5072,7566948.0,123155206.9377,400412.0,3449375.0,56146386.6544
2021-12-02,15.5072,15.5592,14.5,15.1865,4029711.0,60962750.0474,237174.0,1824538.0,27615532.5244
2021-12-03,15.1923,15.5495,12.3193,13.1034,6033430.0,86321983.9619,316644.0,2707347.0,38796547.6551
2021-12-04,13.1014,13.1269,8.4429,11.8147,10304567.0,114835740.9029,456427.0,4835351.0,53926184.1894
2021-12-05,11.8115,12.1058,10.4256,11.1753,6228945.0,70300376.0054,311068.0,3058769.0,34539176.3757
2021-12-06,11.1781,11.5101,9.92,11.3777,6332102.0,68394913.656,313337.0,3110771.0,33636304.0867
2021-12-07,11.3834,13.3,11.3284,13.0299,10081177.0,125646498.795,450517.0,4961567.0,61858473.966
2021-12-08,13.0297,13.5083,11.8,13.1584,8310051.0,105634912.9075,430579.0,4038802.0,51350403.9584
2021-12-09,13.1622,14.5836,12.3506,12.4686,12202888.0,165610977.8676,552715.0,5904188.0,80124706.9324
2021-12-10,12.4685,12.9552,11.0669,11.1734,5879781.0,70704652.7859,290712.0,2854317.0,34364089.9683
2021-12-11,11.1793,11.7849,10.9571,11.708,3838362.0,44012160.1219,190891.0,1888587.0,21661044.832
2021-12-12,11.708,11.8503,11.1131,11.7049,3719857.0,42830887.526,166741.0,1790036.0,20609603.7388
2021-12-13,11.705,11.97,9.8348,9.9257,5056022.0,54187619.3012,226674.0,2371293.0,25408915.0594
2021-12-14,9.9242,10.6346,9.7546,10.5016,4852571.0,49374354.424,220325.0,2411990.0,24542884.3685
2021-12-15,10.4992,11.0889,9.9,10.9278,6309728.0,66809229.4518,274464.0,3043111.0,32218296.9913
2021-12-16,10.9309,11.8707,10.8148,10.9074,4890130.0,54902211.5255,233180.0,2379455.0,26730536.9399
2021-12-17,10.9144,11.4728,10.263,10.8676,4624105.0,50677219.5558,238794.0,2219009.0,24322452.2879
2021-12-18,10.8668,11.5919,10.6177,11.1475,2678989.0,29812669.0006,150112.0,1317853.0,14669592.5379
2021-12-19,11.1475,11.3604,10.5624,10.578,2167894.0,23771968.838,118401.0,1017406.0,11162878.9535
2021-12-20,10.5729,10.6581,9.7619,10.463,3164900.0,32227271.7786,156388.0,1489234.0,15165956.3102
2021-12-21,10.463,11.0013,10.2224,10.9057,2472032.0,26292615.6068,133103.0,1187294.0,12626408.9504
2021-12-22,10.9057,11.5412,10.7843,11.0742,3678473.0,41013038.7878,177030.0,1757802.0,19599725.497
2021-12-23,11.0745,11.8596,10.6753,11.7585,4077547.0,45700342.9565,189157.0,1942076.0,21782573.8055
2021-12-24,11.7585,12.75,11.6189,12.1098,8171193.0,99654698.2853,329159.0,3806215.0,46434234.7502
2021-12-25,12.1049,13.8883,11.914,13.212,14118742.0,185785290.1058,565105.0,6792383.0,89400238.2451
2021-12-26,13.221,13.691,12.5676,13.1094,4845563.0,62993404.5983,252258.0,2259678.0,29377888.7201
2021-12-27,13.1127,13.5178,12.7291,12.7865,3538409.0,46745475.2845,183317.0,1602218.0,21181698.0734
2021-12-28,12.7858,12.7896,11.5197,11.5652,5596463.0,67396039.7361,250527.0,2577389.0,31017052.0155
2021-12-29,11.5673,12.65,11.5647,11.8716,7893518.0,96615563.7114,327262.0,3837664.0,46982487.1326
2021-12-30,11.8709,12.5438,11.4975,11.9818,4227113.0,51006146.5876,207073.0,2031177.0,24523634.3945
2021-12-31,11.976,12.9455,11.76,12.2471,3907894.0,48014843.944,188727.0,1866419.0,22926555.0783
2022-01-01,12.2526,13.5312,12.2518,13.2124,8661706.0,113614056.0378,341336.0,4177516.0,54807072.6477
2022-01-02,13.2036,14.3,12.862,14.0051,7291088.0,100117342.9463,319382.0,3511938.0,48234457.8042
2022-01-03,14.0066,14.0623,12.4232,12.8278,4781165.0,62932558.2699,229666.0,2168772.0,28557348.2968
2022-01-04,12.8304,13.0062,12.0996,12.3089,4877032.0,61159695.5268,234299.0,2191216.0,27488737.161
2022-01-05,12.3054,13.188,10.3754,11.1843,7966226.0,98153832.6173,341414.0,3606697.0,44537957.5022
2022-01-06,11.1842,11.3701,10.504,10.9022,4289010.0,46637996.1833,223189.0,2057250.0,22376723.6916
2022-01-07,10.9017,11.0093,9.7471,10.1448,5540293.0,56598349.8523,258732.0,2655879.0,27126211.8369
2022-01-08,10.145,10.5495,9.1162,9.4405,4951647.0,48995850.8125,221588.0,2342120.0,23146433.813
2022-01-09,9.4424,9.8459,9.3038,9.5943,3153456.0,30212242.1518,149006.0,1508598.0,14458283.1687
2022-01-10,9.594,9.7492,8.275,8.9186,5444615.0,49005054.898,214361.0,2625035.0,23608393.0167
2022-01-11,8.913,9.6696,8.8036,9.6429,3987567.0,36525880.188,174015.0,1927459.0,17668588.2968
2022-01-12,9.6396,10.3798,9.4722,10.1963,4058556.0,40278730.0303,175852.0,1915457.0,18993698.1156
2022-01-13,10.1993,10.446,9.461,9.539,3309238.0,33029332.192,150800.0,1499016.0,14954599.4532
2022-01-14,9.538,9.805,9.195,9.514,2679406.0,25473197.4447,113578.0,1272774.0,12102252.9353
2022-01-15,9.51,9.726,9.292,9.445,2558543.0,24377457.9046,103436.0,1241135.0,11829586.087
2022-01-16,9.444,9.702,9.184,9.492,2599897.0,24542759.8849,101682.0,1225942.0,11578838.3066
2022-01-17,9.492,9.614,8.483,8.77,4374523.0,38917579.4771,160472.0,2014580.0,17926053.8823
2022-01-18,8.769,8.936,8.371,8.763,4360937.0,37626568.3223,172497.0,2137493.0,18446179.5479
2022-01-19,8.763,8.898,8.19,8.432,3584128.0,30450130.2521,151099.0,1711936.0,14555254.657
2022-01-20,8.429,9.059,7.861,7.938,8110431.0,69196384.8808,249239.0,3823889.0,32612986.896
2022-01-21,7.934,7.982,6.238,6.483,6998118.0,50283671.4517,246466.0,3240126.0,23287404.5762
2022-01-22,6.478,6.646,5.077,5.602,8521413.0,49179319.1895,282320.0,4155438.0,23948245.1396
2022-01-23,5.604,6.107,5.478,5.89,5439960.0,31310897.727,191881.0,2757598.0,15879005.19
2022-01-24,5.89,5.894,4.71,5.255,7291855.0,37322732.0607,227684.0,3537074.0,18082028.315
2022-01-25,5.256,5.659,5.074,5.54,5833515.0,31184946.323,188273.0,2975988.0,15902258.955
2022-01-26,5.539,6.299,5.448,5.654,7182197.0,41918047.896,236769.0,3491931.0,20392524.003
2022-01-27,5.651,5.923,5.274,5.603,4218174.0,23398067.215,166584.0,2004896.0,11125200.71
2022-01-28,5.6,5.953,5.412,5.911,4548669.0,25930324.993,163729.0,2252234.0,12846857.614
2022-01-29,5.909,6.319,5.811,6.096,5329647.0,32191352.235,167128.0,2563126.0,15482859.041
