Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2021-03-31,7.2106,7.2106,5.7753,5.9525,5119703.0,32211858.5882,137234.0,2365089.0,14907416.8939
2021-04-01,5.9566,6.3949,5.5386,5.5661,9093496.0,53598816.5041,229224.0,4005132.0,23643971.1213
2021-04-02,5.5674,5.569,5.0384,5.1322,6860573.0,36277678.3671,135097.0,2923691.0,15462682.2637
2021-04-03,5.1398,6.8226,5.0519,6.6871,15056630.0,85122530.2425,267022.0,7107221.0,40350080.1822
2021-04-04,6.7103,6.9687,5.8394,6.8858,15692999.0,97373284.3697,301911.0,7440932.0,46240364.7047
2021-04-05,6.8861,6.9,5.5718,5.6179,6779281.0,41289778.4567,149292.0,2979800.0,18167761.4064
2021-04-06,5.6179,5.7657,4.8715,5.2124,9580290.0,51470976.1927,222193.0,4329306.0,23296335.0054
2021-04-07,5.2158,5.3532,4.0,4.3989,12145711.0,54768949.1673,206323.0,5414762.0,24421008.2917
2021-04-08,4.4,5.3,4.3256,5.1597,8125738.0,39741981.5522,147074.0,3885848.0,19016498.7197
2021-04-09,5.1534,5.4027,4.9266,5.3091,3780982.0,19601745.5435,93189.0,1710691.0,8880203.7094
2021-04-10,5.3031,5.3102,4.75,4.936,2497402.0,12507577.1408,68067.0,1145032.0,5736179.8546
2021-04-11,4.9324,4.9535,4.513,4.6953,2038415.0,9596271.2251,55493.0,935064.0,4404990.6452
2021-04-12,4.7018,5.5938,4.6571,4.8878,8878219.0,45874785.0722,177725.0,4160116.0,21515884.796
2021-04-13,4.8889,4.9219,4.6529,4.855,3231179.0,15513480.0507,70017.0,1457318.0,7003902.6671
2021-04-14,4.8668,4.8773,4.1803,4.5864,4623664.0,20711999.2804,95546.0,1996768.0,8940547.7938
2021-04-15,4.5897,4.8096,4.4213,4.7212,3282194.0,15212354.9634,72694.0,1497748.0,6950507.336
2021-04-16,4.7337,4.7387,4.1,4.2803,4285379.0,18601441.3398,86761.0,1860889.0,8075757.8306
