Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2020-10-19,0.01086,0.01215,0.009831,0.011167,433448833.0,4668571.481478,75534.0,214023683.0,2305617.025248
2020-10-20,0.011161,0.011576,0.009157,0.009439,437956735.0,4500756.645068,71909.0,188698120.0,1943036.035372
2020-10-21,0.009449,0.01485,0.009265,0.012846,3742967204.0,48286537.905353,280368.0,1886500642.0,24332499.955407
2020-10-22,0.012811,0.015737,0.012723,0.01443,5265036345.0,76664772.398807,467508.0,2590598348.0,37750862.392613
2020-10-23,0.014426,0.015595,0.014,0.014014,2121003754.0,31427148.444739,217184.0,993098673.0,14745641.725301
2020-10-24,0.014013,0.015078,0.01361,0.014858,1164408557.0,16808715.105646,106695.0,550452777.0,7948810.574013
2020-10-25,0.014858,0.016901,0.0145,0.016738,1956097820.0,30885566.994063,167092.0,961408012.0,15178739.484414
2020-10-26,0.016706,0.0175,0.014127,0.015674,2141338535.0,34042978.163017,190641.0,1015051181.0,16157164.774773
2020-10-27,0.01567,0.015891,0.01422,0.014617,1290963928.0,19167102.319634,153750.0,601707984.0,8943538.35361
2020-10-28,0.014617,0.015187,0.012536,0.013844,1847996448.0,24886907.087551,189413.0,891506792.0,12024989.386506
2020-10-29,0.01386,0.014294,0.011566,0.011943,1508677060.0,19587498.210546,185829.0,696463182.0,9041360.11034
2020-10-30,0.011943,0.012446,0.010718,0.012153,1933404372.0,22236258.14055,203587.0,950562672.0,10945835.822209
2020-10-31,0.01217,0.01272,0.011464,0.011612,1038059557.0,12426085.000653,161938.0,492454845.0,5903399.157912
2020-11-01,0.011609,0.012452,0.011096,0.012008,868359967.0,10181456.245824,138521.0,415415701.0,4881943.755205
2020-11-02,0.012008,0.012626,0.010755,0.010836,1294108420.0,15315940.456973,155070.0,584313856.0,6929525.046832
2020-11-03,0.010842,0.011137,0.01,0.010728,1076114670.0,11291258.314501,119559.0,512133731.0,5379928.490335
2020-11-04,0.01073,0.01076,0.009506,0.01021,1304121176.0,13376621.011813,98928.0,603561308.0,6199214.884115
2020-11-05,0.010241,0.012032,0.009997,0.01175,1379169825.0,15336833.144028,109205.0,691645715.0,7685544.147731
2020-11-06,0.011744,0.015,0.011653,0.014692,1914099423.0,25432175.178731,149342.0,933136717.0,12415035.124084
2020-11-07,0.014717,0.015667,0.01188,0.012793,2923079564.0,39884677.911895,189556.0,1338366886.0,18280938.912233
2020-11-08,0.012796,0.014787,0.012407,0.014448,1285133189.0,17711135.228893,93563.0,604340966.0,8327618.580852
2020-11-09,0.01445,0.015183,0.013397,0.014623,1781680388.0,25612968.782121,152576.0,798676278.0,11489225.729998
2020-11-10,0.014623,0.018116,0.014134,0.017508,2417169401.0,39864018.455804,229535.0,1144350235.0,18887257.034575
2020-11-11,0.017521,0.018964,0.016008,0.017182,2605074301.0,45657617.989634,239241.0,1225737969.0,21513241.132365
2020-11-12,0.01716,0.018079,0.01552,0.015881,1622146821.0,27437004.06759,177687.0,768146050.0,13001810.166948
2020-11-13,0.015875,0.017886,0.015875,0.017704,1004033793.0,17206025.0267,122297.0,495487759.0,8497011.667058
2020-11-14,0.017703,0.017803,0.015568,0.01616,893798634.0,14602198.754368,80056.0,395976541.0,6464741.622826
2020-11-15,0.01616,0.017031,0.014355,0.015441,921808505.0,14785791.219304,90752.0,425394485.0,6847105.959856
2020-11-16,0.015426,0.018,0.015077,0.017321,1556462459.0,26278989.577672,148508.0,736850323.0,12438941.1235
2020-11-17,0.017298,0.021555,0.01711,0.021009,1928717539.0,36853819.291328,211200.0,914097968.0,17501402.355927
2020-11-18,0.020983,0.021968,0.01785,0.020051,3078271220.0,62105105.602809,317692.0,1433074335.0,28978205.408595
2020-11-19,0.020061,0.022543,0.019024,0.021411,1759924575.0,36895555.89738,240995.0,838964264.0,17615617.275781
2020-11-20,0.021402,0.0252,0.021345,0.023977,1444616424.0,33798109.658358,205732.0,692610315.0,16210238.743982
2020-11-21,0.023978,0.0257,0.02351,0.024215,1336110722.0,32844356.47075,154551.0,576494086.0,14187473.746667
2020-11-22,0.02423,0.024397,0.020499,0.022156,1379547043.0,31338532.295164,150495.0,603557937.0,13716613.041092
2020-11-23,0.02215,0.023781,0.0217,0.022831,916000399.0,20840545.436705,126059.0,415255738.0,9456250.261041
2020-11-24,0.02283,0.02645,0.022168,0.023741,1545062317.0,37057749.56855,166747.0,702200260.0,16871797.945892
2020-11-25,0.023737,0.023861,0.018728,0.019958,1076159249.0,23471981.936738,150071.0,483964409.0,10565404.652253
2020-11-26,0.019955,0.020652,0.014776,0.01927,2052216189.0,36639993.047411,253139.0,950925147.0,16992636.576662
2020-11-27,0.019247,0.020737,0.01716,0.018488,1040168760.0,19689741.47178,108669.0,475567217.0,9013556.391409
2020-11-28,0.018473,0.020695,0.017589,0.019341,879682292.0,17130867.476446,78962.0,392575805.0,7649282.570886
2020-11-29,0.01934,0.020095,0.018587,0.019553,538201088.0,10446369.855402,71687.0,247182605.0,4803618.40347
2020-11-30,0.01956,0.02196,0.019414,0.021477,1209761331.0,24945070.811234,162973.0,572621934.0,11817849.889159
2020-12-01,0.021472,0.022447,0.01903,0.019499,1041185834.0,21531869.297262,144350.0,465515559.0,9637736.544376
2020-12-02,0.019485,0.021425,0.019108,0.02097,762085047.0,15642927.39204,85630.0,354907579.0,7289225.913026
2020-12-03,0.020972,0.021461,0.020435,0.020989,494673608.0,10368136.495112,71306.0,234225566.0,4912979.255418
2020-12-04,0.02097,0.021052,0.017677,0.018043,725574404.0,14151493.627896,83452.0,323725138.0,6318873.916326
2020-12-05,0.018039,0.020332,0.017706,0.019726,645876501.0,12371329.381039,61395.0,320122947.0,6132638.972758
2020-12-06,0.01973,0.020316,0.018507,0.018979,519855027.0,10031097.444776,66843.0,227950818.0,4408744.199202
2020-12-07,0.018994,0.020499,0.018596,0.020121,785314073.0,15389215.242329,87660.0,373867531.0,7329904.557713
2020-12-08,0.020121,0.020141,0.017342,0.017675,611819673.0,11543821.718494,68779.0,263465913.0,4976760.702402
2020-12-09,0.017687,0.021359,0.01696,0.019737,1348134629.0,26496869.980934,142483.0,648222124.0,12725811.613091
2020-12-10,0.01973,0.020251,0.018418,0.018905,702420089.0,13510897.685937,85189.0,323486056.0,6228845.108014
2020-12-11,0.018913,0.018974,0.017156,0.017595,463196692.0,8283508.011891,57517.0,215222167.0,3854035.21324
