Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2020-09-14,3.2002,4.91,3.2002,3.2661,4788171.0,16036784.494,64892.0,2108916.0,7072177.633
2020-09-15,3.2629,3.3258,2.9001,2.9332,4318305.0,13621711.0385,52431.0,2045597.0,6469073.2204
2020-09-16,2.9299,2.9299,2.4316,2.5395,5698128.0,14856831.7914,74645.0,2567811.0,6695436.1084
2020-09-17,2.54,2.936,2.3569,2.8855,6499338.0,17030558.1609,85456.0,3110240.0,8169723.7962
2020-09-18,2.8821,3.15,2.724,3.108,6310796.0,18691804.3569,84568.0,3177110.0,9425291.614
2020-09-19,3.108,3.2509,2.955,3.0193,5004414.0,15371321.4183,65646.0,2384521.0,7330934.2824
2020-09-20,3.0159,3.0173,2.6876,2.8635,4430783.0,12699290.7506,53547.0,2201022.0,6323828.8086
2020-09-21,2.8567,3.03,2.4576,2.7539,6299704.0,17301567.0659,81971.0,3074652.0,8451469.8851
2020-09-22,2.7544,3.01,2.6094,2.9183,8942906.0,25701864.7265,111300.0,4358753.0,12534587.7355
2020-09-23,2.9196,3.0935,2.6863,2.8313,7291781.0,21084871.2389,84584.0,3715507.0,10749658.6707
2020-09-24,2.835,3.2538,2.7607,3.1392,6564611.0,19866295.772,81955.0,3086730.0,9367412.8476
2020-09-25,3.1314,3.2698,2.898,3.1821,5925744.0,18205988.1209,69403.0,3036250.0,9337861.3781
2020-09-26,3.1871,3.249,3.017,3.1262,5033808.0,15670182.4313,54253.0,2536181.0,7894005.5623
2020-09-27,3.1275,3.1883,2.977,3.1617,4684139.0,14540686.656,49903.0,2219816.0,6889270.2684
2020-09-28,3.1596,3.2116,2.8909,2.9564,4954686.0,15163873.4275,53898.0,2341472.0,7170773.7711
2020-09-29,2.956,3.0207,2.874,2.9517,4430934.0,13108477.3965,46357.0,2069527.0,6127356.2742
2020-09-30,2.95,2.989,2.8285,2.9004,3951833.0,11467953.0826,42623.0,1926223.0,5583724.6859
2020-10-01,2.9008,2.9968,2.6546,2.8701,4852685.0,13926229.8674,51246.0,2234168.0,6424768.6778
2020-10-02,2.8694,2.8851,2.4224,2.6236,5582857.0,14729447.9806,60303.0,2482608.0,6542446.8777
2020-10-03,2.6271,2.6689,2.5326,2.5454,4150340.0,10903898.1881,42300.0,2165016.0,5689901.0952
2020-10-04,2.5447,2.5909,2.4266,2.5236,4641666.0,11645814.1127,47810.0,2147173.0,5390102.904
2020-10-05,2.5244,2.677,2.4561,2.6495,4421463.0,11373887.1838,47182.0,2310363.0,5937741.8933
2020-10-06,2.6517,2.661,2.1346,2.1732,5435007.0,13126402.5772,53388.0,2512250.0,6081348.1308
2020-10-07,2.1725,2.4,2.0854,2.3027,6627417.0,14907458.0004,62438.0,2983503.0,6723166.2476
2020-10-08,2.3036,2.4629,2.0117,2.3716,8385420.0,18833682.9536,75485.0,3957314.0,8908526.5887
2020-10-09,2.3717,2.6289,2.3101,2.5363,6662396.0,16532541.815,64175.0,3180300.0,7890690.4074
2020-10-10,2.5356,2.611,2.3907,2.407,5487486.0,13767446.7602,52274.0,2497108.0,6270126.2075
2020-10-11,2.4065,2.4609,2.3378,2.4257,4904544.0,11809240.05,46182.0,2316168.0,5580572.7949
2020-10-12,2.4269,2.7096,2.4171,2.5825,6382872.0,16334052.6261,61354.0,3080485.0,7883118.5463
2020-10-13,2.582,2.5889,2.3355,2.4048,6883812.0,16898878.4417,62197.0,2957464.0,7255171.8134
2020-10-14,2.4053,2.4464,2.2337,2.3087,4990767.0,11684296.8744,47878.0,2214402.0,5177632.9237
