Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2023-02-21,0.648,0.6971,0.5962,0.6498,45495696.0,29136893.3843,162391.0,21704945.0,13916185.486
2023-02-22,0.6496,0.8428,0.6331,0.7368,527982166.0,394361919.534,1351999.0,266963332.0,199517807.904
2023-02-23,0.7368,0.889,0.7329,0.8195,571067789.0,478027949.6233,1606968.0,289480673.0,242498121.245
2023-02-24,0.8198,0.8659,0.6914,0.7316,285683967.0,219652017.4135,750836.0,136162572.0,104805802.9191
2023-02-25,0.7316,0.7799,0.6517,0.7629,302070015.0,213515440.5406,736607.0,154163968.0,109132163.1171
2023-02-26,0.7626,0.8,0.7285,0.781,274990009.0,208789834.582,675396.0,141996073.0,107862162.6573
2023-02-27,0.781,0.985,0.7538,0.91,926791163.0,841882239.6938,2240949.0,481129922.0,437033075.6221
2023-02-28,0.9099,0.945,0.8431,0.8857,482528035.0,428112569.1309,1203283.0,246877332.0,219226889.4708
2023-03-01,0.8856,1.0346,0.8679,0.9842,625344551.0,609215113.404,1605695.0,320126877.0,311853175.2598
2023-03-02,0.984,1.0298,0.8933,0.9257,402692787.0,379527409.3469,978933.0,197320235.0,186199754.3414
2023-03-03,0.9257,0.9258,0.8125,0.8472,354951012.0,300097962.0796,753597.0,170881747.0,144347929.7627
2023-03-04,0.8474,0.8645,0.7124,0.7279,371389223.0,288269845.7913,697656.0,176474179.0,137008676.5202
2023-03-05,0.7279,0.7646,0.7008,0.7476,412114159.0,301759418.8817,758879.0,202589906.0,148428327.0231
2023-03-06,0.7476,0.77,0.7143,0.7471,351724283.0,261658004.396,643126.0,175257317.0,130435818.3891
2023-03-07,0.7471,0.755,0.6535,0.676,323167407.0,224804660.8392,550110.0,154678874.0,107609745.8898
2023-03-08,0.6759,0.686,0.6046,0.625,352175557.0,225592029.9994,577989.0,171068284.0,109573975.7442
2023-03-09,0.625,0.662,0.5418,0.5757,586024320.0,360196385.1015,840806.0,291119663.0,179119035.1381
2023-03-10,0.5757,0.6123,0.521,0.6036,497591155.0,282014619.4483,687753.0,253470089.0,143773128.1983
2023-03-11,0.6033,0.6265,0.5607,0.6091,347670464.0,205775352.3162,513524.0,177303412.0,104943065.0681
2023-03-12,0.6091,0.7493,0.5707,0.7454,308643242.0,192553891.4131,460485.0,156631884.0,97940611.7318
2023-03-13,0.7455,0.8485,0.706,0.7973,552066485.0,423047512.6667,953533.0,279158698.0,213873292.6285
2023-03-14,0.7974,1.027,0.7708,0.9663,762184413.0,681812312.6381,1616716.0,382204073.0,342145251.5618
2023-03-15,0.9662,1.0903,0.801,0.877,1042469783.0,1004785733.5642,2430754.0,525793630.0,506761219.7614
2023-03-16,0.877,0.9444,0.8511,0.91,487651937.0,438368795.5826,1179609.0,243201736.0,218729072.6586
2023-03-17,0.91,1.1928,0.894,1.1742,917216129.0,976024456.2446,1989190.0,467351404.0,497604058.2583
2023-03-18,1.1743,1.298,1.1057,1.144,573408406.0,692947468.427,1632430.0,288808093.0,349186600.9508
2023-03-19,1.1439,1.2632,1.0923,1.1417,469396853.0,551350420.1259,1338640.0,233684337.0,274630277.7856
2023-03-20,1.1418,1.3089,1.0783,1.1734,601085858.0,715890828.1818,1638751.0,298792811.0,355982719.1328
2023-03-21,1.1734,1.2385,1.1001,1.123,468065216.0,551362887.4394,1396466.0,232714337.0,274276823.7003
2023-03-22,1.123,1.2455,1.0581,1.1544,578269055.0,660297347.0163,1725812.0,288520974.0,329592474.7447
2023-03-23,1.1547,1.2162,1.1171,1.1714,273808965.0,318557053.4022,963314.0,137855007.0,160446735.4108
2023-03-24,1.1713,1.184,0.972,1.021,267182637.0,285546219.2012,792817.0,127677220.0,136453196.5709
2023-03-25,1.021,1.0315,0.904,0.9285,262637993.0,253766845.8953,631606.0,130031727.0,125716974.2963
2023-03-26,0.9284,1.0276,0.9118,1.0053,244263106.0,238777921.9411,627703.0,122518460.0,119795450.1691
2023-03-27,1.0054,1.0238,0.887,0.9109,264608932.0,248667036.2665,628524.0,129010102.0,121212348.1901
2023-03-28,0.9109,0.966,0.854,0.9453,341450094.0,306494023.4782,773698.0,172216271.0,154745306.3632
2023-03-29,0.9452,1.0589,0.9284,0.9836,312561731.0,311547262.8159,748209.0,153157351.0,152674221.0728
2023-03-30,0.9837,1.047,0.9066,0.9285,239459070.0,229812653.1943,606530.0,116464250.0,111835724.8423
2023-03-31,0.9284,0.9419,0.8847,0.9297,170153071.0,155420849.2411,409226.0,83380923.0,76185615.8083
2023-04-01,0.9297,0.9351,0.8809,0.896,82403057.0,74455771.3195,237623.0,39165823.0,35388276.9548
2023-04-02,0.8959,0.938,0.8566,0.872,141829498.0,125919638.0329,345681.0,68103297.0,60489080.8259
2023-04-03,0.872,0.9276,0.8404,0.8756,279935517.0,249926690.8939,662026.0,137363941.0,122657259.9447
2023-04-04,0.8755,0.8874,0.8481,0.8781,107767134.0,93742056.3098,302976.0,52987330.0,46099747.0799
2023-04-05,0.8781,0.9144,0.8513,0.8626,114903183.0,101042018.1287,331013.0,54770635.0,48180047.3367
2023-04-06,0.8626,0.8636,0.8056,0.8221,94576084.0,78152204.2052,277304.0,44691033.0,36913247.6305
2023-04-07,0.8222,0.8346,0.7749,0.7968,83433249.0,66672335.9378,242233.0,39688670.0,31721891.0364
2023-04-08,0.7967,0.8184,0.7897,0.8038,62785175.0,50716135.5383,224748.0,30676892.0,24782767.1005
2023-04-09,0.8038,0.8861,0.7808,0.874,183433677.0,154348345.2251,526675.0,92497514.0,77846539.3877
2023-04-10,0.8743,0.9361,0.8265,0.9182,226469010.0,198601298.6851,571104.0,111410016.0,97752559.7559
2023-04-11,0.9184,1.01,0.9086,0.963,347799316.0,334359810.0957,865485.0,176072547.0,169329943.0448
2023-04-12,0.963,0.9742,0.8791,0.8852,316798859.0,293338574.2826,759676.0,154915747.0,143472012.1457
2023-04-13,0.8851,0.9189,0.8616,0.8851,202138778.0,178388349.9099,494445.0,98665474.0,87087434.4767
2023-04-14,0.8852,0.9121,0.8465,0.8822,208654297.0,184541378.6164,517737.0,101071419.0,89422886.6353
2023-04-15,0.8822,0.8827,0.8468,0.8677,85273294.0,73624671.2767,248137.0,40911402.0,35326419.0401
2023-04-16,0.8677,0.8869,0.8353,0.859,96890942.0,83390741.8927,277914.0,46567944.0,40074517.4597
2023-04-17,0.8589,0.8602,0.83,0.8412,87027847.0,73563763.4019,264704.0,41428684.0,35022179.3124
2023-04-18,0.8412,0.8727,0.8215,0.8631,95245875.0,81104785.1125,270212.0,44239776.0,37687527.0917
2023-04-19,0.863,0.8635,0.7164,0.7612,119692938.0,94982484.7757,387433.0,53864340.0,42785662.6317
2023-04-20,0.7612,0.7734,0.7154,0.7355,94753525.0,70731929.6469,286931.0,46009215.0,34348598.3983
2023-04-21,0.7354,0.754,0.6667,0.6874,98120078.0,70028702.9232,302503.0,48642177.0,34739822.3401
2023-04-22,0.6873,0.7466,0.6748,0.7314,79904781.0,56624037.845,232049.0,39854136.0,28257614.2252
2023-04-23,0.7315,0.7316,0.6858,0.71,96683342.0,68748923.4856,271491.0,45343139.0,32243093.2492
2023-04-24,0.71,0.759,0.6973,0.7341,204399943.0,150168017.5021,535003.0,100818889.0,74109203.691
2023-04-25,0.7342,0.754,0.7038,0.7461,139636031.0,100969762.7108,367769.0,68332423.0,49428856.7399
2023-04-26,0.7459,0.8025,0.7,0.7322,164741668.0,124111097.0201,416713.0,81083208.0,61106251.7394
2023-04-27,0.7323,0.783,0.7196,0.742,159523754.0,118689340.8246,431602.0,79687347.0,59301507.041
2023-04-28,0.7421,0.75,0.698,0.7143,99436257.0,71463374.513,272011.0,48906692.0,35160890.2884
2023-04-29,0.7142,0.7355,0.7085,0.7226,67164613.0,48595237.0677,201204.0,33063322.0,23929551.8245
2023-04-30,0.7225,0.7393,0.7116,0.7171,69766733.0,50560811.6315,198862.0,34015590.0,24648278.7358
2023-05-01,0.7171,0.7267,0.6676,0.6815,81677113.0,56104915.9984,235457.0,39703278.0,27270727.5842
