Date,Open,High,Low,Close,Volume,Qav,Num_trades,Taker_base_vol,Taker_quote_vol
2020-10-12,0.7,0.7719,0.7,0.7388,5319197.0,3937101.5865,32261.0,2476116.0,1836571.6275
2020-10-13,0.7384,0.8189,0.7179,0.8008,15750210.0,12410401.211,82023.0,7727569.0,6101580.6695
2020-10-14,0.8009,0.83,0.7604,0.793,10646537.0,8510014.9237,51621.0,4798309.0,3843519.8464
2020-10-15,0.794,0.7943,0.697,0.738,7064764.0,5230445.5906,36481.0,2970770.0,2201225.5058
2020-10-16,0.7382,0.7547,0.671,0.6827,4094525.0,2905314.7974,26499.0,1812953.0,1288336.4122
2020-10-17,0.6814,0.6988,0.65,0.6898,2232155.0,1514953.1127,19352.0,966349.0,656905.2188
2020-10-18,0.689,0.7258,0.6838,0.7155,2398787.0,1697521.7075,20622.0,1179383.0,835707.8232
2020-10-19,0.7152,0.7189,0.6734,0.6837,2334079.0,1617267.086,20263.0,941704.0,653398.1609
2020-10-20,0.6831,0.6852,0.5923,0.6155,4661974.0,2916134.3943,27326.0,2211849.0,1376905.491
2020-10-21,0.6154,0.6586,0.6115,0.6357,3756313.0,2398883.0461,23017.0,1762039.0,1126816.0918
2020-10-22,0.6365,0.6887,0.6205,0.6649,4060507.0,2691256.0911,23998.0,1836884.0,1218753.0944
2020-10-23,0.6649,0.713,0.6505,0.687,5708804.0,3885646.3665,27556.0,2559254.0,1744990.447
2020-10-24,0.6866,0.6953,0.6587,0.6613,2514296.0,1705842.4888,18712.0,1057746.0,718560.0565
2020-10-25,0.662,0.6739,0.6355,0.6404,2737652.0,1789159.3611,20836.0,1207771.0,791058.3097
2020-10-26,0.6418,0.6675,0.5971,0.6275,3934546.0,2488710.6001,23173.0,1767579.0,1120317.6255
2020-10-27,0.6272,0.6406,0.6075,0.626,2900142.0,1811063.3653,20857.0,1360264.0,850070.1397
2020-10-28,0.626,0.6453,0.5695,0.633,8071847.0,4929809.3689,34360.0,3965009.0,2425678.2251
2020-10-29,0.633,0.679,0.572,0.5812,14399104.0,9117357.6404,49028.0,6573883.0,4175464.85
2020-10-30,0.5824,0.5887,0.5326,0.5629,8838574.0,4948705.5485,41997.0,4269351.0,2394109.1242
2020-10-31,0.5629,0.577,0.5418,0.5455,4796994.0,2674367.4001,25768.0,2245594.0,1254266.3409
2020-11-01,0.5452,0.5671,0.52,0.5536,5895308.0,3212446.0414,27548.0,2707723.0,1476104.9466
2020-11-02,0.5538,0.5692,0.5133,0.5134,10818514.0,5899849.6784,41816.0,4853722.0,2653902.0556
2020-11-03,0.5134,0.52,0.4809,0.5058,7350906.0,3680207.6067,31764.0,3532602.0,1770345.4788
2020-11-04,0.506,0.5067,0.4664,0.4896,6548248.0,3205730.1196,29478.0,3207325.0,1571645.4987
2020-11-05,0.4895,0.5291,0.4774,0.5223,4550054.0,2299344.936,23040.0,2273537.0,1150853.5519
2020-11-06,0.5225,0.5954,0.5212,0.5871,7778665.0,4417036.4347,35381.0,3805426.0,2158733.3896
2020-11-07,0.5864,0.6727,0.5226,0.5482,15617240.0,9394557.123,57845.0,7108946.0,4280734.5089
2020-11-08,0.5485,0.6075,0.5398,0.5935,6563699.0,3792188.6605,31483.0,3277976.0,1892449.5332
2020-11-09,0.5937,0.6018,0.5506,0.5873,5398645.0,3135791.5326,28734.0,2671215.0,1552499.7984
2020-11-10,0.5877,0.6274,0.5778,0.6103,4826608.0,2939290.6827,26687.0,2201353.0,1340905.2619
2020-11-11,0.6109,0.639,0.5953,0.5986,4517450.0,2794082.684,23668.0,1981232.0,1226789.8726
2020-11-12,0.5991,0.6101,0.5564,0.5714,3808348.0,2217221.4077,19114.0,1762614.0,1026155.9709
2020-11-13,0.5711,0.6093,0.5641,0.5975,3985660.0,2355639.3686,19484.0,1832407.0,1082485.1688
